Date,Num_Children,Food_Remaining,Daily_Need,Food_Used,Donation_Amount,Expense_Total,Budget_Left,Food_Shortage,Suggested_Purchase,Quantity_To_Buy,Estimated_Cost,Emergency_Event,Medical_Treatment,Medical_Cost,Utility_Type,Utility_Cost,Staff_On_Duty,Notes,Food_Per_Child,Donation_Per_Child,Budget_Per_Child,Cost_Per_Child,Food_Shortage_Per_Child,Remaining_Days_Covered,Emergency_Flag,Medical_Flag,High_Utility_Cost
2003-07-11,63,99,63,10,7498,106956,-99458,0,None,0,0,None,None,0,Water,29517,7,Check food/donations,0.16,119.02,-1578.7,2166.24,0.0,1.57,0,0,0
2006-09-01,100,95,100,30,33059,109943,-76884,5,Rice,5,8570,None,Diarrhea,4438,Gas,44297,5,Check food/donations,0.3,330.59,-768.84,1586.78,0.05,0.95,0,1,1
2018-07-08,89,83,89,35,10125,98957,-88832,6,Rice,6,10008,None,Diarrhea,27068,Electricity,19562,8,Check food/donations,0.39,113.76,-998.11,1635.81,0.07,0.93,0,1,0
2016-08-08,62,29,62,10,111092,111372,-280,33,Rice,33,63591,None,Malaria,13551,Water,46380,6,Check food/donations,0.16,1791.81,-4.52,2762.95,0.53,0.47,0,1,1
2020-08-27,51,86,51,24,113574,101649,11925,0,None,0,0,Sickness,None,0,Electricity,16290,5,Stable,0.47,2226.94,233.82,2312.53,0.0,1.69,1,0,0
2007-02-20,20,61,20,14,149408,103132,46276,0,None,0,0,None,Diarrhea,12204,Water,21865,8,Stable,0.7,7470.4,2313.8,6860.05,0.0,3.05,0,1,0
2009-12-20,87,63,87,6,33329,78084,-44755,24,Maize Flour,24,45504,None,Flu,10989,Gas,46846,3,Check food/donations,0.07,383.09,-514.43,1562.29,0.28,0.72,0,1,1
2005-06-11,60,38,60,14,1768,63501,-61733,22,Beans,22,36476,None,Malaria,10124,Internet,30868,3,Check food/donations,0.23,29.47,-1028.88,1741.55,0.37,0.63,0,1,1
2005-09-20,46,52,46,5,18296,92358,-74062,0,None,0,0,Water Shortage,Diarrhea,14229,Internet,19704,9,Check food/donations,0.11,397.74,-1610.04,2745.46,0.0,1.13,1,1,0
2005-01-17,30,18,30,5,72611,71225,1386,12,Beans,12,21612,None,Diarrhea,10188,Internet,17982,7,Check food/donations,0.17,2420.37,46.2,3313.17,0.4,0.6,0,1,0
2007-09-10,57,18,57,12,128329,26592,101737,39,Rice,39,77688,Water Shortage,Fever,29062,Internet,38360,5,Check food/donations,0.21,2251.39,1784.86,1649.37,0.68,0.32,1,1,1
2017-09-04,32,14,32,12,129781,80295,49486,18,Maize Flour,18,31644,None,Fever,3102,Internet,16185,5,Check food/donations,0.38,4055.66,1546.44,3111.94,0.56,0.44,0,1,0
2006-07-02,55,27,55,24,92602,119514,-26912,28,Beans,28,44492,None,Diarrhea,25245,Internet,29366,8,Check food/donations,0.44,1683.67,-489.31,3165.91,0.51,0.49,0,1,0
2010-02-27,21,10,21,5,141439,62144,79295,11,Maize Flour,11,17952,Power Outage,Fever,15997,Internet,13474,10,Check food/donations,0.24,6735.19,3775.95,4362.62,0.52,0.48,1,1,0
2008-10-01,68,41,68,29,106862,61724,45138,27,Maize Flour,27,48519,None,Malaria,13993,Electricity,20939,7,Check food/donations,0.43,1571.5,663.79,1421.41,0.4,0.6,0,1,0
2020-12-23,44,46,44,27,111850,39954,71896,0,None,0,0,None,Malaria,6792,Electricity,44345,7,Stable,0.61,2542.05,1634.0,2070.25,0.0,1.05,0,1,1
2014-06-21,40,61,40,37,81994,38477,43517,0,None,0,0,None,Fever,5862,Internet,37765,6,Stable,0.93,2049.85,1087.92,2052.6,0.0,1.52,0,1,1
2011-07-11,24,23,24,7,66174,108039,-41865,1,Rice,1,1945,None,None,0,Gas,35271,4,Check food/donations,0.29,2757.25,-1744.38,5971.25,0.04,0.96,0,0,1
2005-07-13,79,65,79,30,120727,42266,78461,14,Maize Flour,14,22302,None,Flu,15422,Electricity,42884,10,Check food/donations,0.38,1528.19,993.18,1273.06,0.18,0.82,0,1,1
2009-12-22,51,27,51,23,142177,86813,55364,24,Vegetables,24,46608,None,Fever,1861,Water,32183,5,Check food/donations,0.45,2787.78,1085.57,2369.75,0.47,0.53,0,1,1
2000-05-01,31,57,31,39,125885,65092,60793,0,None,0,0,None,None,0,Electricity,36415,4,Stable,1.26,4060.81,1961.06,3274.42,0.0,1.84,0,0,1
2009-03-23,42,57,42,20,117906,114625,3281,0,None,0,0,None,Flu,27152,Internet,42493,10,Stable,0.48,2807.29,78.12,4387.38,0.0,1.36,0,1,1
2018-08-08,47,17,47,15,21694,75126,-53432,30,Maize Flour,30,54510,None,Diarrhea,8402,Water,46664,3,Check food/donations,0.32,461.57,-1136.85,2770.04,0.64,0.36,0,1,1
2013-08-24,46,51,46,22,5725,41728,-36003,0,None,0,0,None,None,0,Electricity,34932,5,Check food/donations,0.48,124.46,-782.67,1666.52,0.0,1.11,0,0,1
2009-05-08,49,27,49,7,143482,74342,69140,22,Maize Flour,22,41228,None,Fever,18463,Internet,21621,9,Check food/donations,0.14,2928.2,1411.02,2335.22,0.45,0.55,0,1,0
2001-08-08,64,100,64,27,85241,100140,-14899,0,None,0,0,None,Fever,27982,Electricity,38350,3,Check food/donations,0.42,1331.89,-232.8,2601.12,0.0,1.56,0,1,1
2008-03-29,80,66,80,13,133644,48101,85543,14,Vegetables,14,25802,None,Flu,1420,Electricity,20530,9,Check food/donations,0.16,1670.55,1069.29,875.64,0.17,0.82,0,1,0
2017-07-15,87,44,87,25,1024,55423,-54399,43,Rice,43,65360,Sickness,Diarrhea,3912,Water,16326,3,Check food/donations,0.29,11.77,-625.28,869.67,0.49,0.51,1,1,0
2000-05-03,71,99,71,22,23680,95213,-71533,0,None,0,0,None,Malaria,23437,Water,41898,7,Check food/donations,0.31,333.52,-1007.51,2261.24,0.0,1.39,0,1,1
2007-05-21,24,12,24,7,121157,78441,42716,12,Vegetables,12,21732,None,Fever,12298,Water,11645,4,Check food/donations,0.29,5048.21,1779.83,4266.0,0.5,0.5,0,1,0
1999-04-10,50,84,50,25,101594,111962,-10368,0,None,0,0,None,None,0,Internet,20227,3,Check food/donations,0.5,2031.88,-207.36,2643.78,0.0,1.68,0,0,0
2011-02-10,53,82,53,10,65731,97396,-31665,0,None,0,0,None,None,0,Gas,34420,9,Check food/donations,0.19,1240.21,-597.45,2487.09,0.0,1.55,0,0,1
2011-02-07,61,55,61,31,14619,52613,-37994,6,Vegetables,6,10734,None,Flu,27295,Gas,25909,8,Check food/donations,0.51,239.66,-622.85,1734.7,0.1,0.9,0,1,0
2003-07-21,70,77,70,35,145986,59907,86079,0,None,0,0,None,Diarrhea,14952,Internet,24019,7,Stable,0.5,2085.51,1229.7,1412.54,0.0,1.1,0,1,0
2019-10-19,66,60,66,29,51432,28839,22593,6,Maize Flour,6,11730,None,Malaria,9029,Gas,18848,3,Check food/donations,0.44,779.27,342.32,859.33,0.09,0.91,0,1,0
2014-06-16,87,15,87,8,8741,108996,-100255,72,Beans,72,134856,None,None,0,Electricity,29046,9,Check food/donations,0.09,100.47,-1152.36,1586.69,0.83,0.17,0,0,0
2000-01-21,22,89,22,27,63910,30973,32937,0,None,0,0,Fire,Flu,27585,Water,33967,8,Stable,1.23,2905.0,1497.14,4205.68,0.0,4.05,1,1,1
2018-10-14,67,32,67,25,123003,84958,38045,35,Maize Flour,35,64960,Power Outage,Diarrhea,3097,Electricity,40896,6,Check food/donations,0.37,1835.87,567.84,1924.64,0.52,0.48,1,1,1
2001-05-15,64,58,64,39,61299,20783,40516,6,Rice,6,9018,Water Shortage,Fever,7170,Electricity,29931,6,Check food/donations,0.61,957.8,633.06,904.44,0.09,0.91,1,1,0
2000-01-27,55,74,55,33,9482,55555,-46073,0,None,0,0,None,Flu,15248,Gas,23467,3,Check food/donations,0.6,172.4,-837.69,1714.0,0.0,1.35,0,1,0
2012-05-12,75,91,75,36,109258,116347,-7089,0,None,0,0,None,Flu,18527,Electricity,40524,9,Check food/donations,0.48,1456.77,-94.52,2338.64,0.0,1.21,0,1,1
2007-02-22,79,50,79,27,55335,60833,-5498,29,Maize Flour,29,56492,None,Fever,23105,Electricity,45044,5,Check food/donations,0.34,700.44,-69.59,1632.68,0.37,0.63,0,1,1
2005-04-29,45,91,45,23,25413,112292,-86879,0,None,0,0,Fire,Fever,21586,Water,47309,4,Check food/donations,0.51,564.73,-1930.64,4026.38,0.0,2.02,1,1,1
2008-06-10,39,56,39,36,42083,64238,-22155,0,None,0,0,None,Fever,5297,Internet,27665,10,Check food/donations,0.92,1079.05,-568.08,2492.31,0.0,1.44,0,1,0
2015-05-11,95,49,95,38,43331,28069,15262,46,Rice,46,70104,None,Fever,3717,Water,12663,10,Check food/donations,0.4,456.12,160.65,467.88,0.48,0.52,0,1,0
2020-08-03,87,47,87,31,45887,40972,4915,40,Beans,40,78720,None,None,0,Water,26230,5,Check food/donations,0.36,527.44,56.49,772.44,0.46,0.54,0,0,0
2004-04-24,76,47,76,18,63593,31172,32421,29,Beans,29,55854,None,Malaria,991,Gas,33440,10,Check food/donations,0.24,836.75,426.59,863.2,0.38,0.62,0,1,1
2007-01-29,86,99,86,7,188,68893,-68705,0,None,0,0,None,Flu,29889,Electricity,25770,8,Check food/donations,0.08,2.19,-798.9,1448.28,0.0,1.15,0,1,0
2010-03-19,95,25,95,13,9999,86159,-76160,70,Vegetables,70,108430,None,Fever,21758,Gas,44458,6,Check food/donations,0.14,105.25,-801.68,1603.95,0.74,0.26,0,1,1
2014-08-08,73,58,73,38,17608,74085,-56477,15,Beans,15,24525,None,None,0,Water,44651,3,Check food/donations,0.52,241.21,-773.66,1626.52,0.21,0.79,0,0,1
2013-08-17,88,54,88,40,86588,29066,57522,34,Vegetables,34,63138,None,Flu,9278,Internet,44874,4,Check food/donations,0.45,983.95,653.66,945.66,0.39,0.61,0,1,1
2011-01-12,44,23,44,22,20526,101877,-81351,21,Rice,21,36183,Power Outage,Malaria,12726,Internet,43880,9,Check food/donations,0.5,466.5,-1848.89,3601.89,0.48,0.52,1,1,1
2002-06-29,55,53,55,39,77251,20579,56672,2,Beans,2,3228,None,Diarrhea,27844,Internet,48047,6,Check food/donations,0.71,1404.56,1030.4,1754.0,0.04,0.96,0,1,1
2019-01-31,35,44,35,25,108307,73486,34821,0,None,0,0,None,None,0,Water,19382,6,Stable,0.71,3094.49,994.89,2653.37,0.0,1.26,0,0,0
2006-06-03,85,55,85,8,120039,82570,37469,30,Maize Flour,30,56280,Sickness,Diarrhea,27386,Internet,14764,4,Check food/donations,0.09,1412.22,440.81,1467.29,0.35,0.65,1,1,0
2017-07-23,76,26,76,22,94953,61180,33773,50,Beans,50,77750,None,Fever,13829,Water,33999,7,Check food/donations,0.29,1249.38,444.38,1434.32,0.66,0.34,0,1,1
2017-06-04,72,72,72,20,3765,39107,-35342,0,None,0,0,None,Malaria,6313,Internet,32368,5,Check food/donations,0.28,52.29,-490.86,1080.39,0.0,1.0,0,1,1
2008-12-13,36,37,36,21,127190,41855,85335,0,None,0,0,Sickness,Flu,9600,Electricity,47172,5,Stable,0.58,3533.06,2370.42,2739.64,0.0,1.03,1,1,1
2007-12-22,74,77,74,30,49990,46947,3043,0,None,0,0,None,Malaria,25234,Internet,14646,8,Stable,0.41,675.54,41.12,1173.34,0.0,1.04,0,1,0
2002-02-06,49,34,49,24,96088,91319,4769,15,Maize Flour,15,28680,Sickness,None,0,Gas,44582,6,Check food/donations,0.49,1960.98,97.33,2773.49,0.31,0.69,1,0,1
2012-05-26,53,40,53,27,72454,104075,-31621,13,Beans,13,21476,None,Fever,1243,Gas,44272,9,Check food/donations,0.51,1367.06,-596.62,2822.45,0.25,0.75,0,1,1
2009-09-26,51,57,51,27,129499,98432,31067,0,None,0,0,None,None,0,Gas,35174,3,Stable,0.53,2539.2,609.16,2619.73,0.0,1.12,0,0,1
2020-02-05,90,37,90,7,75062,92924,-17862,53,Maize Flour,53,102396,Power Outage,Flu,23028,Gas,37368,4,Check food/donations,0.08,834.02,-198.47,1703.56,0.59,0.41,1,1,1
2008-09-13,24,87,24,5,89359,69091,20268,0,None,0,0,None,Fever,8549,Gas,15876,9,Stable,0.21,3723.29,844.5,3896.5,0.0,3.62,0,1,0
1999-04-05,74,25,74,5,17043,83341,-66298,49,Rice,49,83594,None,None,0,Water,38747,10,Check food/donations,0.07,230.31,-895.92,1649.84,0.66,0.34,0,0,1
2008-07-08,92,75,92,22,25483,23276,2207,17,Beans,17,32640,None,None,0,Gas,22243,8,Check food/donations,0.24,276.99,23.99,494.77,0.18,0.82,0,0,0
2018-03-09,93,71,93,36,96978,51846,45132,22,Vegetables,22,36124,None,Fever,11187,Water,38018,3,Check food/donations,0.39,1042.77,485.29,1086.57,0.24,0.76,0,1,1
2020-08-22,25,22,25,22,120476,115505,4971,3,Beans,3,5751,Sickness,Diarrhea,13593,Internet,11718,5,Check food/donations,0.88,4819.04,198.84,5632.64,0.12,0.88,1,1,0
2003-01-31,22,90,22,25,126510,62587,63923,0,None,0,0,Power Outage,Flu,14853,Gas,24379,7,Stable,1.14,5750.45,2905.59,4628.14,0.0,4.09,1,1,0
2017-12-31,75,96,75,37,86044,85134,910,0,None,0,0,None,Malaria,12847,Water,30676,4,Stable,0.49,1147.25,12.13,1715.43,0.0,1.28,0,1,1
2002-12-01,41,82,41,16,121049,64396,56653,0,None,0,0,None,None,0,Internet,43675,4,Stable,0.39,2952.41,1381.78,2635.88,0.0,2.0,0,0,1
2005-06-03,49,90,49,26,74328,91697,-17369,0,None,0,0,None,Fever,19583,Gas,44803,9,Check food/donations,0.53,1516.9,-354.47,3185.37,0.0,1.84,0,1,1
2010-10-31,34,26,34,9,103375,68233,35142,8,Rice,8,15072,None,None,0,Water,33436,5,Check food/donations,0.26,3040.44,1033.59,2990.26,0.24,0.76,0,0,1
2005-09-19,53,66,53,39,58400,103835,-45435,0,None,0,0,None,Flu,28323,Internet,18303,6,Check food/donations,0.74,1101.89,-857.26,2838.89,0.0,1.25,0,1,0
2018-10-03,70,10,70,7,40003,98808,-58805,60,Beans,60,112140,None,None,0,Water,38579,8,Check food/donations,0.1,571.47,-840.07,1962.67,0.86,0.14,0,0,1
2005-03-18,57,21,57,15,94380,20761,73619,36,Beans,36,70344,None,Fever,23266,Internet,41679,5,Check food/donations,0.26,1655.79,1291.56,1503.61,0.63,0.37,0,1,1
2018-08-14,62,88,62,28,112525,47605,64920,0,None,0,0,Fire,Flu,28221,Internet,40866,10,Stable,0.45,1814.92,1047.1,1882.13,0.0,1.42,1,1,1
2020-10-13,72,60,72,15,60280,28669,31611,12,Vegetables,12,22848,Power Outage,Malaria,12659,Internet,20076,7,Check food/donations,0.21,837.22,439.04,852.83,0.17,0.83,1,1,0
2006-12-22,49,77,49,37,86884,115289,-28405,0,None,0,0,None,Malaria,21233,Electricity,12151,5,Check food/donations,0.76,1773.14,-579.69,3034.14,0.0,1.57,0,1,0
2012-03-25,54,13,54,6,389,77183,-76794,41,Beans,41,66625,None,None,0,Water,34466,10,Check food/donations,0.11,7.2,-1422.11,2067.57,0.76,0.24,0,0,1
2019-01-07,58,28,58,23,12190,47554,-35364,30,Beans,30,49170,Sickness,Flu,16530,Gas,43247,10,Check food/donations,0.4,210.17,-609.72,1850.53,0.52,0.48,1,1,1
2010-04-25,37,20,37,15,3626,81047,-77421,17,Rice,17,33813,None,None,0,Internet,44172,8,Check food/donations,0.41,98.0,-2092.46,3384.3,0.46,0.54,0,0,1
2005-06-02,85,91,85,16,122585,101688,20897,0,None,0,0,None,Flu,24781,Electricity,15159,6,Stable,0.19,1442.18,245.85,1666.21,0.0,1.07,0,1,0
2019-09-17,71,11,71,11,63942,77417,-13475,60,Beans,60,93720,None,Fever,7004,Internet,46367,4,Check food/donations,0.15,900.59,-189.79,1842.08,0.85,0.15,0,1,1
1999-05-24,78,18,78,14,142396,75482,66914,60,Vegetables,60,109440,Sickness,Flu,29257,Water,10193,4,Check food/donations,0.18,1825.59,857.87,1473.49,0.77,0.23,1,1,0
2002-06-15,50,64,50,17,43535,74375,-30840,0,None,0,0,None,Flu,27149,Internet,15736,6,Check food/donations,0.34,870.7,-616.8,2345.2,0.0,1.28,0,1,0
2002-01-31,61,31,61,22,24029,30088,-6059,30,Beans,30,53670,Sickness,None,0,Electricity,44837,9,Check food/donations,0.36,393.92,-99.33,1228.28,0.49,0.51,1,0,1
2006-05-06,99,42,99,7,93240,70056,23184,57,Beans,57,106362,None,Diarrhea,22529,Water,47420,5,Check food/donations,0.07,941.82,234.18,1414.19,0.58,0.42,0,1,1
2002-07-15,24,100,24,35,86948,52169,34779,0,None,0,0,None,Diarrhea,11127,Water,29282,9,Stable,1.46,3622.83,1449.12,3857.42,0.0,4.17,0,1,0
2014-08-23,37,81,37,25,109858,64059,45799,0,None,0,0,Power Outage,Fever,24486,Gas,45360,3,Stable,0.68,2969.14,1237.81,3619.05,0.0,2.19,1,1,1
2015-10-16,53,68,53,16,42072,96094,-54022,0,None,0,0,None,Flu,3213,Gas,16465,7,Check food/donations,0.3,793.81,-1019.28,2184.38,0.0,1.28,0,1,0
2010-03-30,34,67,34,16,90410,100792,-10382,0,None,0,0,None,Fever,15894,Gas,45082,6,Check food/donations,0.47,2659.12,-305.35,4757.88,0.0,1.97,0,1,1
2000-08-24,53,52,53,17,94217,76077,18140,1,Beans,1,1648,None,Malaria,14880,Gas,35193,3,Check food/donations,0.32,1777.68,342.26,2380.19,0.02,0.98,0,1,1
2019-05-15,91,97,91,28,96635,69805,26830,0,None,0,0,Sickness,Diarrhea,13363,Gas,29669,9,Stable,0.31,1061.92,294.84,1239.97,0.0,1.07,1,1,0
2013-10-02,60,15,60,15,101539,98334,3205,45,Rice,45,71595,None,Flu,18066,Internet,11927,7,Check food/donations,0.25,1692.32,53.42,2138.78,0.75,0.25,0,1,0
2020-04-14,73,62,73,27,41753,52632,-10879,11,Beans,11,18183,Power Outage,Diarrhea,10006,Electricity,20264,10,Check food/donations,0.37,571.96,-149.03,1135.64,0.15,0.85,1,1,0
2010-01-12,79,99,79,12,120376,114639,5737,0,None,0,0,None,Malaria,12998,Gas,10323,5,Stable,0.15,1523.75,72.62,1746.33,0.0,1.25,0,1,0
1999-02-23,85,96,85,7,16065,96111,-80046,0,None,0,0,Sickness,Malaria,3015,Gas,32184,9,Check food/donations,0.08,189.0,-941.72,1544.82,0.0,1.13,1,1,1
2004-04-26,89,73,89,37,45027,32520,12507,16,Beans,16,29008,None,Flu,12846,Gas,16657,7,Check food/donations,0.42,505.92,140.53,696.89,0.18,0.82,0,1,0
2014-08-23,82,30,82,15,129056,91920,37136,52,Vegetables,52,86840,None,None,0,Gas,32228,6,Check food/donations,0.18,1573.85,452.88,1514.0,0.63,0.37,0,0,1
2008-04-30,63,34,63,7,85862,114757,-28895,29,Beans,29,48082,None,Fever,16256,Electricity,42067,9,Check food/donations,0.11,1362.89,-458.65,2747.3,0.46,0.54,0,1,1
2012-12-12,29,55,29,14,45376,70848,-25472,0,None,0,0,None,Malaria,7103,Water,48822,3,Check food/donations,0.48,1564.69,-878.34,4371.48,0.0,1.9,0,1,1
2001-11-27,60,92,60,26,105349,23350,81999,0,None,0,0,None,Diarrhea,23295,Water,39193,3,Stable,0.43,1755.82,1366.65,1430.63,0.0,1.53,0,1,1
2015-10-21,67,92,67,8,139142,25121,114021,0,None,0,0,None,Malaria,23469,Internet,15574,3,Stable,0.12,2076.75,1701.81,957.67,0.0,1.37,0,1,0
2002-02-25,48,23,48,12,54416,89291,-34875,25,Maize Flour,25,43225,None,None,0,Gas,11608,3,Check food/donations,0.25,1133.67,-726.56,2102.06,0.52,0.48,0,0,0
1999-07-12,69,88,69,29,64821,83008,-18187,0,None,0,0,None,Flu,362,Internet,23835,9,Check food/donations,0.42,939.43,-263.58,1553.7,0.0,1.28,0,1,0
2003-06-21,89,81,89,20,34557,85262,-50705,8,Beans,8,12448,None,Flu,12969,Gas,49831,9,Check food/donations,0.22,388.28,-569.72,1663.62,0.09,0.91,0,1,1
1999-04-19,70,74,70,32,15055,41602,-26547,0,None,0,0,None,Flu,26144,Electricity,40273,4,Check food/donations,0.46,215.07,-379.24,1543.13,0.0,1.06,0,1,1
2005-11-22,77,45,77,20,17969,22498,-4529,32,Maize Flour,32,62848,None,None,0,Gas,10214,7,Check food/donations,0.26,233.36,-58.82,424.83,0.42,0.58,0,0,0
2010-09-18,46,67,46,37,97213,49010,48203,0,None,0,0,None,Fever,6969,Electricity,23773,10,Stable,0.8,2113.33,1047.89,1733.74,0.0,1.46,0,1,0
2001-03-07,81,25,81,23,40718,64701,-23983,56,Maize Flour,56,96656,None,Fever,25323,Electricity,16546,9,Check food/donations,0.28,502.69,-296.09,1315.68,0.69,0.31,0,1,0
2018-05-07,75,81,75,39,68669,84120,-15451,0,None,0,0,None,Malaria,8252,Internet,19519,10,Check food/donations,0.52,915.59,-206.01,1491.88,0.0,1.08,0,1,0
2009-02-19,38,79,38,37,36956,20743,16213,0,None,0,0,Fire,Diarrhea,4566,Gas,20805,5,Stable,0.97,972.53,426.66,1213.53,0.0,2.08,1,1,0
2013-10-15,64,16,64,14,17574,97948,-80374,48,Beans,48,78768,Power Outage,Diarrhea,7592,Electricity,19089,7,Check food/donations,0.22,274.59,-1255.84,1947.33,0.75,0.25,1,1,0
2007-12-29,84,98,84,25,33744,101205,-67461,0,None,0,0,None,Fever,17414,Gas,41482,7,Check food/donations,0.3,401.71,-803.11,1905.96,0.0,1.17,0,1,1
2016-03-17,59,35,59,25,107406,74052,33354,24,Beans,24,44496,None,Malaria,437,Water,22137,10,Check food/donations,0.42,1820.44,565.32,1637.73,0.41,0.59,0,1,0
2014-07-19,62,48,62,29,62984,116387,-53403,14,Vegetables,14,22540,None,Flu,3395,Water,46991,8,Check food/donations,0.47,1015.87,-861.34,2689.89,0.23,0.77,0,1,1
2000-06-20,94,95,94,40,23870,108588,-84718,0,None,0,0,Power Outage,Flu,20671,Water,30257,4,Check food/donations,0.43,253.94,-901.26,1696.98,0.0,1.01,1,1,1
2009-01-13,49,65,49,19,36524,106679,-70155,0,None,0,0,Water Shortage,Flu,18577,Gas,40909,3,Check food/donations,0.39,745.39,-1431.73,3391.12,0.0,1.33,1,1,1
2012-09-28,97,95,97,13,64240,115696,-51456,2,Vegetables,2,3920,None,None,0,Gas,33532,4,Check food/donations,0.13,662.27,-530.47,1538.43,0.02,0.98,0,0,1
2014-04-26,67,24,67,6,106106,88061,18045,43,Vegetables,43,78002,Power Outage,Flu,2171,Water,38534,6,Check food/donations,0.09,1583.67,269.33,1921.88,0.64,0.36,1,1,1
2003-04-21,64,40,64,26,3772,84580,-80808,24,Rice,24,42624,None,None,0,Water,16025,5,Check food/donations,0.41,58.94,-1262.62,1571.95,0.38,0.62,0,0,0
2003-07-27,31,48,31,18,139844,111562,28282,0,None,0,0,Water Shortage,Fever,3081,Water,45200,6,Stable,0.58,4511.1,912.32,5156.23,0.0,1.55,1,1,1
2003-11-11,90,88,90,26,38028,87189,-49161,2,Maize Flour,2,3168,Power Outage,Fever,14562,Internet,47851,8,Check food/donations,0.29,422.53,-546.23,1662.24,0.02,0.98,1,1,1
2019-12-31,55,84,55,28,66153,38532,27621,0,None,0,0,None,Malaria,23513,Gas,49802,8,Stable,0.51,1202.78,502.2,2033.58,0.0,1.53,0,1,1
2002-05-18,87,17,87,8,107001,94812,12189,70,Rice,70,115220,None,Diarrhea,16047,Water,10333,7,Check food/donations,0.09,1229.9,140.1,1393.01,0.8,0.2,0,1,0
2007-06-30,45,37,45,24,90123,50063,40060,8,Vegetables,8,14856,None,Flu,18296,Gas,27115,10,Check food/donations,0.53,2002.73,890.22,2121.64,0.18,0.82,0,1,0
2003-10-09,83,48,83,20,136467,20959,115508,35,Maize Flour,35,67165,Power Outage,Malaria,13887,Gas,41423,4,Check food/donations,0.24,1644.18,1391.66,918.9,0.42,0.58,1,1,1
2005-06-03,37,84,37,18,96271,98563,-2292,0,None,0,0,None,Flu,296,Internet,34170,8,Check food/donations,0.49,2601.92,-61.95,3595.38,0.0,2.27,0,1,1
2008-07-15,34,77,34,13,46964,92108,-45144,0,None,0,0,None,Malaria,26818,Electricity,10561,5,Check food/donations,0.38,1381.29,-1327.76,3808.44,0.0,2.26,0,1,0
