Date,Num_Children,Food_Remaining (kg),Daily_Need (kg),Food_Used (kg),Donation_Amount (Tsh),Expense_Total (Tsh),Budget_Left (Tsh),Food_Shortage (kg),Suggested_Purchase,Quantity_To_Buy,Estimated_Cost (Tsh),Emergency_Event,Medical_Treatment,Medical_Cost,Utility_Type,Utility_Cost,Staff_On_Duty,Notes,Food_Per_Child,Donation_Per_Child,Budget_Per_Child
2019-07-19,97,37,97,28,93410,105608,-12198,60,Vegetables,60,103980,None,Diarrhea,4604,Internet,31417,4,Check food/donations,0.29,962.99,-125.75
2019-07-23,40,88,40,6,39975,33451,6524,0,None,0,0,None,Flu,7218,Water,41148,3,Stable,0.15,999.38,163.1
2008-03-15,27,41,27,30,148070,90346,57724,0,None,0,0,Sickness,None,0,Gas,45774,8,Stable,1.11,5484.07,2137.93
2000-09-07,77,86,77,8,38321,22865,15456,0,None,0,0,Sickness,None,0,Water,49382,4,Stable,0.1,497.68,200.73
2003-06-15,31,89,31,34,39317,72113,-32796,0,None,0,0,None,Fever,18760,Water,29542,7,Check food/donations,1.1,1268.29,-1057.94
2006-06-19,32,52,32,29,55718,23922,31796,0,None,0,0,None,Flu,3014,Electricity,49862,5,Stable,0.91,1741.19,993.62
2008-01-14,88,87,88,29,146862,44067,102795,1,Beans,1,1975,None,Malaria,8499,Gas,31219,10,Check food/donations,0.33,1668.89,1168.12
2010-06-27,99,14,99,12,98707,88154,10553,85,Beans,85,154615,None,Malaria,9889,Gas,45381,10,Check food/donations,0.12,997.04,106.6
2008-04-22,66,22,66,8,61461,91215,-29754,44,Maize Flour,44,70972,None,Diarrhea,14144,Electricity,40440,9,Check food/donations,0.12,931.23,-450.82
2005-06-05,93,84,93,31,90621,116209,-25588,9,Maize Flour,9,17658,Sickness,Flu,8988,Internet,46702,3,Check food/donations,0.33,974.42,-275.14
2014-12-14,71,47,71,26,92954,89648,3306,24,Maize Flour,24,37128,Sickness,Flu,29764,Internet,40387,6,Check food/donations,0.37,1309.21,46.56
2004-12-06,36,100,36,7,142566,21773,120793,0,None,0,0,None,Diarrhea,20195,Electricity,49933,6,Stable,0.19,3960.17,3355.36
2009-01-08,51,99,51,33,19609,89348,-69739,0,None,0,0,Power Outage,Malaria,27413,Internet,19771,10,Check food/donations,0.65,384.49,-1367.43
2003-05-23,32,12,32,11,138832,91661,47171,20,Vegetables,20,33040,Power Outage,Diarrhea,18796,Gas,32143,5,Check food/donations,0.34,4338.5,1474.09
2008-02-03,40,49,40,24,104550,40797,63753,0,None,0,0,None,Flu,11819,Water,20732,7,Stable,0.6,2613.75,1593.83
2020-06-16,71,16,71,7,48854,97865,-49011,55,Beans,55,109395,None,Malaria,26135,Water,26197,10,Check food/donations,0.1,688.08,-690.3
2011-04-14,91,74,91,33,13530,110481,-96951,17,Beans,17,31654,None,Diarrhea,3996,Electricity,20700,6,Check food/donations,0.36,148.68,-1065.4
2003-01-18,49,81,49,10,101338,61139,40199,0,None,0,0,None,Malaria,18426,Electricity,35310,5,Stable,0.2,2068.12,820.39
2005-09-19,51,13,51,12,117685,63229,54456,38,Beans,38,65284,None,Flu,437,Water,36586,4,Check food/donations,0.24,2307.55,1067.76
2011-05-06,59,53,59,21,45667,74158,-28491,6,Vegetables,6,10380,None,Diarrhea,27068,Water,13844,3,Check food/donations,0.36,774.02,-482.9
2011-11-05,89,40,89,25,16278,24895,-8617,49,Rice,49,87514,Water Shortage,Malaria,26929,Internet,12677,8,Check food/donations,0.28,182.9,-96.82
2014-09-03,97,92,97,33,57010,61226,-4216,5,Rice,5,9030,None,Diarrhea,2326,Water,36448,5,Check food/donations,0.34,587.73,-43.46
2003-02-24,86,76,86,9,35558,83468,-47910,10,Rice,10,18500,None,Malaria,24302,Gas,48094,10,Check food/donations,0.1,413.47,-557.09
2002-01-27,91,64,91,9,124202,50848,73354,27,Rice,27,42309,None,Malaria,14119,Water,18445,8,Check food/donations,0.1,1364.86,806.09
2012-06-12,81,19,81,9,27172,108379,-81207,62,Rice,62,104222,Water Shortage,Diarrhea,10359,Electricity,37746,7,Check food/donations,0.11,335.46,-1002.56
2020-06-16,36,80,36,8,132986,72965,60021,0,None,0,0,None,None,0,Internet,19846,8,Stable,0.22,3694.06,1667.25
2000-04-23,75,10,75,8,94865,96050,-1185,65,Rice,65,113620,None,Flu,20878,Gas,41564,5,Check food/donations,0.11,1264.87,-15.8
2008-07-04,74,80,74,27,115430,61145,54285,0,None,0,0,None,Malaria,26328,Gas,47603,4,Stable,0.36,1559.86,733.58
2016-12-07,28,56,28,8,137234,107071,30163,0,None,0,0,None,Fever,26047,Gas,38083,3,Stable,0.29,4901.21,1077.25
2015-10-26,84,17,84,10,40611,93333,-52722,67,Vegetables,67,113699,None,None,0,Water,27147,10,Check food/donations,0.12,483.46,-627.64
2005-03-20,39,69,39,36,145434,105174,40260,0,None,0,0,None,Flu,8949,Internet,38526,10,Stable,0.92,3729.08,1032.31
2013-02-14,49,32,49,6,68793,77604,-8811,17,Rice,17,30243,None,Fever,26798,Electricity,29001,4,Check food/donations,0.12,1403.94,-179.82
2008-10-04,91,85,91,40,12160,37614,-25454,6,Beans,6,10758,None,Malaria,27762,Electricity,18687,7,Check food/donations,0.44,133.63,-279.71
2012-07-11,67,25,67,21,75525,22068,53457,42,Maize Flour,42,76356,None,Diarrhea,25798,Electricity,21966,4,Check food/donations,0.31,1127.24,797.87
2012-10-12,44,38,44,19,77661,74081,3580,6,Rice,6,11994,Power Outage,Diarrhea,15530,Electricity,21154,6,Check food/donations,0.43,1765.02,81.36
2017-01-20,92,58,92,10,105063,111016,-5953,34,Beans,34,66844,Fire,Malaria,21204,Electricity,23849,8,Check food/donations,0.11,1141.99,-64.71
2001-11-03,21,29,21,25,80229,34103,46126,0,None,0,0,Sickness,Malaria,20158,Gas,18389,3,Stable,1.19,3820.43,2196.48
2015-06-30,75,60,75,16,66764,26251,40513,15,Rice,15,23565,Sickness,Flu,1672,Electricity,12048,9,Check food/donations,0.21,890.19,540.17
2020-08-15,37,15,37,5,149970,119771,30199,22,Rice,22,41008,Water Shortage,None,0,Electricity,23446,5,Check food/donations,0.14,4053.24,816.19
2013-06-13,45,55,45,27,52471,35805,16666,0,None,0,0,Sickness,Malaria,12054,Electricity,31571,7,Stable,0.6,1166.02,370.36
1999-01-21,35,100,35,24,108790,32415,76375,0,None,0,0,Water Shortage,Diarrhea,12419,Gas,31300,8,Stable,0.69,3108.29,2182.14
2011-01-08,52,62,52,27,29057,92977,-63920,0,None,0,0,None,Fever,5234,Gas,26725,8,Check food/donations,0.52,558.79,-1229.23
2000-08-15,56,62,56,18,132242,55133,77109,0,None,0,0,None,Flu,12611,Internet,30231,7,Stable,0.32,2361.46,1376.95
2016-08-27,41,36,41,27,119979,55561,64418,5,Rice,5,8990,Fire,Flu,21377,Water,18644,10,Check food/donations,0.66,2926.32,1571.17
2011-05-02,97,35,97,15,39932,41078,-1146,62,Beans,62,100688,None,Diarrhea,14934,Electricity,24104,9,Check food/donations,0.15,411.67,-11.81
2009-07-11,51,15,51,9,34370,39376,-5006,36,Rice,36,63252,None,None,0,Water,15344,7,Check food/donations,0.18,673.92,-98.16
2000-12-10,26,59,26,6,628,112130,-111502,0,None,0,0,Sickness,None,0,Water,49424,9,Check food/donations,0.23,24.15,-4288.54
2017-09-23,58,36,58,11,10490,75965,-65475,22,Maize Flour,22,33352,None,Fever,1547,Water,29516,6,Check food/donations,0.19,180.86,-1128.88
2003-06-26,40,87,40,5,57971,22041,35930,0,None,0,0,None,Diarrhea,24058,Electricity,38040,3,Stable,0.12,1449.28,898.25
2018-10-29,37,10,37,6,54271,70963,-16692,27,Vegetables,27,47439,None,Fever,21492,Water,19126,6,Check food/donations,0.16,1466.78,-451.14
2001-09-19,36,50,36,11,136632,72882,63750,0,None,0,0,Power Outage,Flu,24992,Electricity,49409,4,Stable,0.31,3795.33,1770.83
2011-12-29,27,17,27,9,90978,32069,58909,10,Rice,10,16290,None,Diarrhea,27650,Electricity,26519,9,Check food/donations,0.33,3369.56,2181.81
2019-11-13,59,93,59,12,3431,42086,-38655,0,None,0,0,None,Fever,11781,Water,28187,6,Check food/donations,0.2,58.15,-655.17
2018-07-24,58,70,58,32,35413,107257,-71844,0,None,0,0,None,Flu,24367,Electricity,48212,6,Check food/donations,0.55,610.57,-1238.69
2010-08-02,30,17,30,9,103899,23261,80638,13,Beans,13,23699,Fire,None,0,Gas,15781,8,Check food/donations,0.3,3463.3,2687.93
2015-07-27,93,100,93,30,102522,33099,69423,0,None,0,0,None,Fever,29955,Internet,48419,8,Stable,0.32,1102.39,746.48
2003-04-22,33,95,33,7,81270,86741,-5471,0,None,0,0,Water Shortage,Flu,28822,Water,28155,4,Check food/donations,0.21,2462.73,-165.79
2020-08-25,58,95,58,38,1976,25526,-23550,0,None,0,0,None,None,0,Water,10746,4,Check food/donations,0.66,34.07,-406.03
2000-06-27,32,97,32,7,118336,110945,7391,0,None,0,0,Water Shortage,Flu,7963,Gas,12098,8,Stable,0.22,3698.0,230.97
2014-06-24,31,35,31,8,17824,20998,-3174,0,None,0,0,Water Shortage,Flu,29109,Internet,36066,6,Check food/donations,0.26,574.97,-102.39
2001-08-03,82,84,82,15,60461,105744,-45283,0,None,0,0,Sickness,Fever,21085,Electricity,36598,5,Check food/donations,0.18,737.33,-552.23
2005-02-06,25,62,25,18,69015,94738,-25723,0,None,0,0,Sickness,Malaria,10955,Electricity,43405,9,Check food/donations,0.72,2760.6,-1028.92
2002-08-27,92,46,92,22,41258,75766,-34508,46,Vegetables,46,72082,Sickness,Flu,26299,Internet,39628,4,Check food/donations,0.24,448.46,-375.09
2012-07-01,43,24,43,11,109271,110533,-1262,19,Vegetables,19,34751,Power Outage,Fever,25189,Gas,15984,9,Check food/donations,0.26,2541.19,-29.35
2004-03-08,73,76,73,17,100652,117541,-16889,0,None,0,0,Power Outage,Fever,1101,Water,26175,10,Check food/donations,0.23,1378.79,-231.36
2006-03-01,76,76,76,17,8116,96735,-88619,0,None,0,0,None,Flu,20525,Electricity,16757,4,Check food/donations,0.22,106.79,-1166.04
2003-08-12,41,58,41,40,59459,66596,-7137,0,None,0,0,None,Fever,23292,Gas,13746,6,Check food/donations,0.98,1450.22,-174.07
2012-01-25,94,28,94,23,66192,74094,-7902,66,Rice,66,100188,None,None,0,Gas,36469,3,Check food/donations,0.24,704.17,-84.06
2001-02-03,55,96,55,38,40370,53342,-12972,0,None,0,0,None,Diarrhea,27679,Water,42972,10,Check food/donations,0.69,734.0,-235.85
2007-03-19,57,67,57,10,101133,117845,-16712,0,None,0,0,None,Flu,13805,Gas,11841,8,Check food/donations,0.18,1774.26,-293.19
2009-04-23,62,76,62,21,31545,72629,-41084,0,None,0,0,Sickness,Malaria,2274,Water,13693,4,Check food/donations,0.34,508.79,-662.65
2020-04-09,71,60,71,23,88039,55678,32361,11,Beans,11,18986,None,Fever,18240,Gas,48431,5,Check food/donations,0.32,1239.99,455.79
2011-07-10,46,76,46,15,27194,89008,-61814,0,None,0,0,None,Fever,11425,Electricity,48909,3,Check food/donations,0.33,591.17,-1343.78
2006-11-09,51,63,51,22,62331,90488,-28157,0,None,0,0,Power Outage,Diarrhea,15106,Internet,37504,5,Check food/donations,0.43,1222.18,-552.1
1999-07-26,85,38,85,21,123071,88830,34241,47,Rice,47,82203,None,Fever,7069,Water,39346,8,Check food/donations,0.25,1447.89,402.84
2017-11-23,26,53,26,31,78495,64937,13558,0,None,0,0,Sickness,Malaria,1553,Electricity,38770,10,Stable,1.19,3019.04,521.46
2020-03-29,44,68,44,37,53712,62063,-8351,0,None,0,0,None,None,0,Gas,42036,4,Check food/donations,0.84,1220.73,-189.8
2002-05-05,39,82,39,24,43263,20259,23004,0,None,0,0,None,Diarrhea,29705,Gas,25379,9,Stable,0.62,1109.31,589.85
2011-08-26,49,21,49,6,133293,61711,71582,28,Maize Flour,28,43176,Power Outage,Flu,275,Electricity,28146,5,Check food/donations,0.12,2720.27,1460.86
2020-01-24,34,61,34,27,142861,103600,39261,0,None,0,0,Sickness,Diarrhea,16750,Electricity,30626,4,Stable,0.79,4201.79,1154.74
2003-10-11,24,28,24,6,37437,51061,-13624,0,None,0,0,None,Diarrhea,6618,Electricity,16594,3,Check food/donations,0.25,1559.88,-567.67
2008-01-08,80,47,80,20,26501,90736,-64235,33,Vegetables,33,54450,None,None,0,Electricity,47344,9,Check food/donations,0.25,331.26,-802.94
2017-08-18,20,68,20,35,147468,95887,51581,0,None,0,0,None,Diarrhea,25432,Water,44244,10,Stable,1.75,7373.4,2579.05
2013-02-17,85,76,85,11,80728,23379,57349,9,Vegetables,9,15417,None,Fever,14950,Water,10445,6,Check food/donations,0.13,949.74,674.69
2009-12-23,62,97,62,10,44081,37771,6310,0,None,0,0,Water Shortage,Flu,12070,Gas,45559,3,Stable,0.16,710.98,101.77
2019-04-08,67,36,67,23,100246,69264,30982,31,Maize Flour,31,49290,Power Outage,Malaria,20176,Gas,40764,10,Check food/donations,0.34,1496.21,462.42
2018-10-08,50,56,50,40,41465,94186,-52721,0,None,0,0,None,Flu,2985,Water,28023,4,Check food/donations,0.8,829.3,-1054.42
2011-07-01,50,18,50,8,11314,69185,-57871,32,Rice,32,62720,Power Outage,None,0,Electricity,45049,8,Check food/donations,0.16,226.28,-1157.42
2013-03-22,63,50,63,30,96709,73795,22914,13,Beans,13,21671,None,Malaria,19639,Gas,47058,6,Check food/donations,0.48,1535.06,363.71
2010-10-29,56,57,56,30,85349,49509,35840,0,None,0,0,None,Flu,18710,Internet,29000,5,Stable,0.54,1524.09,640.0
2000-08-06,52,60,52,29,88097,20798,67299,0,None,0,0,Water Shortage,Fever,19604,Internet,35276,3,Stable,0.56,1694.17,1294.21
2008-07-11,83,22,83,22,130219,39790,90429,61,Rice,61,111813,Sickness,Malaria,8332,Electricity,11213,6,Check food/donations,0.27,1568.9,1089.51
2000-12-31,57,14,57,5,119232,28121,91111,43,Maize Flour,43,68585,None,Flu,18699,Electricity,48764,8,Check food/donations,0.09,2091.79,1598.44
2006-03-21,86,31,86,18,62095,90257,-28162,55,Rice,55,108515,None,Fever,1453,Electricity,45848,6,Check food/donations,0.21,722.03,-327.47
2004-05-25,82,61,82,18,148774,86976,61798,21,Rice,21,37359,None,Fever,10238,Water,36207,4,Check food/donations,0.22,1814.32,753.63
2012-08-15,55,38,55,33,15668,52473,-36805,17,Maize Flour,17,29733,None,Diarrhea,17357,Internet,23298,9,Check food/donations,0.6,284.87,-669.18
2015-10-04,26,61,26,8,110060,76687,33373,0,None,0,0,None,Malaria,2946,Water,27063,9,Stable,0.31,4233.08,1283.58
2018-10-03,100,31,100,24,44464,74495,-30031,69,Beans,69,119301,None,Flu,11097,Electricity,14895,8,Check food/donations,0.24,444.64,-300.31
2002-09-12,32,39,32,38,34497,60293,-25796,0,None,0,0,Power Outage,Diarrhea,10208,Water,39705,4,Check food/donations,1.19,1078.03,-806.12
2017-11-15,72,26,72,23,83240,32308,50932,46,Vegetables,46,89562,None,None,0,Gas,48518,7,Check food/donations,0.32,1156.11,707.39
2016-02-18,22,76,22,15,133144,45839,87305,0,None,0,0,None,Fever,4374,Internet,29898,4,Stable,0.68,6052.0,3968.41
2016-02-16,94,15,94,6,116143,53631,62512,79,Beans,79,153181,None,Malaria,7557,Electricity,49648,6,Check food/donations,0.06,1235.56,665.02
2003-04-01,21,80,21,26,10612,119575,-108963,0,None,0,0,None,Fever,3852,Electricity,28833,8,Check food/donations,1.24,505.33,-5188.71
2018-02-08,70,56,70,7,43786,85404,-41618,14,Maize Flour,14,27454,Water Shortage,Flu,23143,Water,42422,6,Check food/donations,0.1,625.51,-594.54
2012-11-14,57,83,57,26,21881,61644,-39763,0,None,0,0,Power Outage,None,0,Gas,15036,7,Check food/donations,0.46,383.88,-697.6
2000-03-02,56,76,56,14,115585,61947,53638,0,None,0,0,None,Flu,12467,Internet,36810,7,Stable,0.25,2064.02,957.82
1999-05-20,47,33,47,23,43584,60764,-17180,14,Maize Flour,14,27062,None,Malaria,13109,Internet,33332,5,Check food/donations,0.49,927.32,-365.53
2011-06-15,32,39,32,5,89299,94400,-5101,0,None,0,0,None,Flu,1427,Electricity,20101,7,Check food/donations,0.16,2790.59,-159.41
2012-07-23,96,22,96,21,130178,64436,65742,74,Maize Flour,74,125060,None,Malaria,23226,Water,38317,4,Check food/donations,0.22,1356.02,684.81
2017-03-22,86,87,86,29,87117,105828,-18711,0,None,0,0,None,Fever,21933,Internet,18728,8,Check food/donations,0.34,1012.99,-217.57
2003-03-07,79,31,79,31,133708,48346,85362,48,Vegetables,48,76512,None,None,0,Electricity,31903,9,Check food/donations,0.39,1692.51,1080.53
2005-08-07,74,84,74,34,19947,33774,-13827,0,None,0,0,None,Malaria,9124,Electricity,38647,4,Check food/donations,0.46,269.55,-186.85
2011-09-07,82,16,82,9,80800,103263,-22463,66,Maize Flour,66,107976,Power Outage,Fever,431,Internet,26729,3,Check food/donations,0.11,985.37,-273.94
2019-08-11,29,34,29,18,6237,95562,-89325,0,None,0,0,None,Malaria,9315,Electricity,39549,8,Check food/donations,0.62,215.07,-3080.17
2007-08-14,92,96,92,33,83791,38708,45083,0,None,0,0,None,Fever,10596,Gas,38749,10,Stable,0.36,910.77,490.03
2020-02-02,41,99,41,29,139636,49839,89797,0,None,0,0,None,Flu,25444,Internet,33662,6,Stable,0.71,3405.76,2190.17
2017-05-09,36,73,36,22,50508,53574,-3066,0,None,0,0,None,Malaria,29486,Water,23901,6,Check food/donations,0.61,1403.0,-85.17
2018-11-29,49,95,49,28,78749,64519,14230,0,None,0,0,Water Shortage,None,0,Gas,15310,8,Stable,0.57,1607.12,290.41
2006-11-15,68,34,68,5,19789,60876,-41087,34,Rice,34,65620,Power Outage,Malaria,23436,Internet,16230,10,Check food/donations,0.07,291.01,-604.22
2018-05-17,81,55,81,24,118736,36687,82049,26,Beans,26,46488,None,Fever,4479,Water,40120,4,Check food/donations,0.3,1465.88,1012.95
