Date,Num_Children,Food_Remaining,Daily_Need,Food_Used,Donation_Amount,Expense_Total,Budget_Left,Food_Shortage,Suggested_Purchase,Quantity_To_Buy,Estimated_Cost,Emergency_Event,Medical_Treatment,Medical_Cost,Utility_Type,Utility_Cost,Staff_On_Duty,Notes,Food_Per_Child,Donation_Per_Child,Budget_Per_Child,Cost_Per_Child,Food_Shortage_Per_Child,Remaining_Days_Covered,Emergency_Flag,Medical_Flag,High_Utility_Cost,Daily_Status
2024-07-28,83,73,83,36,63337,141267,-77930,10,Vegetables,10,16960,Water Shortage,Fever,10450,Water,41275,10,Check food/donations,0.43,763.1,-938.92,2325.2,0.12,0.88,1,1,1,Warning
2010-06-01,79,30,79,30,20539,109383,-88844,49,Rice,49,83643,Power Outage,None,0,Electricity,24199,6,Check food/donations,0.38,259.99,-1124.61,1690.91,0.62,0.38,1,0,0,Warning
2023-04-07,29,16,29,16,50143,82137,-31994,13,Maize Flour,13,30303,None,None,0,Water,45695,3,Check food/donations,0.55,1729.07,-1103.24,4408.0,0.45,0.55,0,0,1,Warning
2018-03-29,21,60,21,33,22129,50367,-28238,0,None,0,0,Water Shortage,None,0,Electricity,47238,10,Check food/donations,1.57,1053.76,-1344.67,4647.86,0.0,2.86,1,0,1,Warning
2011-09-30,65,109,65,64,180066,140403,39663,0,None,0,0,None,None,0,Gas,23897,4,Stable,0.98,2770.25,610.2,2527.69,0.0,1.68,0,0,0,Good
2012-05-10,89,76,89,59,37236,49012,-11776,13,Rice,13,27144,Water Shortage,None,0,Water,44978,5,Check food/donations,0.66,418.38,-132.31,1056.07,0.15,0.85,1,0,1,Warning
2022-11-18,88,54,88,5,140099,52519,87580,34,Vegetables,34,73168,Power Outage,None,0,Water,38729,7,Check food/donations,0.06,1592.03,995.23,1036.91,0.39,0.61,1,0,0,Warning
2017-04-10,90,38,90,31,28117,107574,-79457,52,Vegetables,52,104884,Power Outage,None,0,Water,42752,5,Check food/donations,0.34,312.41,-882.86,1670.29,0.58,0.42,1,0,1,Warning
2016-12-14,65,22,65,9,27732,55318,-27586,43,Rice,43,67940,Power Outage,None,0,Electricity,50391,6,Check food/donations,0.14,426.65,-424.4,1626.29,0.66,0.34,1,0,1,Warning
2015-08-24,38,58,38,24,87744,114738,-26994,0,None,0,0,Power Outage,None,0,Internet,50048,6,Check food/donations,0.63,2309.05,-710.37,4336.47,0.0,1.53,1,0,1,Warning
2019-08-29,44,106,44,37,48970,46306,2664,0,None,0,0,Water Shortage,None,0,Water,30678,8,Stable,0.84,1112.95,60.55,1749.64,0.0,2.41,1,0,0,Warning
2024-10-23,43,36,43,36,30472,35436,-4964,7,Beans,7,17031,Power Outage,None,0,Water,41242,7,Check food/donations,0.84,708.65,-115.44,1783.21,0.16,0.84,1,0,1,Warning
2022-10-06,60,19,60,19,29277,44044,-14767,41,Rice,41,99835,Sickness,Malaria,6803,Electricity,41781,4,Check food/donations,0.32,487.95,-246.12,1543.8,0.68,0.32,1,1,1,Warning
2013-05-29,60,98,60,52,32361,57225,-24864,0,None,0,0,None,None,0,Water,31333,6,Check food/donations,0.87,539.35,-414.4,1475.97,0.0,1.63,0,0,0,Critical
2010-02-12,26,66,26,47,29380,136689,-107309,0,None,0,0,None,None,0,Electricity,52050,4,Check food/donations,1.81,1130.0,-4127.27,7259.19,0.0,2.54,0,0,1,Critical
2015-05-07,34,53,34,26,198957,50550,148407,0,None,0,0,None,None,0,Gas,31950,5,Stable,0.76,5851.68,4364.91,2426.47,0.0,1.56,0,0,0,Good
2022-10-23,25,14,25,14,180689,129974,50715,11,Vegetables,11,25630,None,None,0,Electricity,23206,5,Check food/donations,0.56,7227.56,2028.6,6127.2,0.44,0.56,0,0,0,Warning
2010-11-18,20,87,20,80,93719,134239,-40520,0,None,0,0,Water Shortage,None,0,Water,30894,5,Check food/donations,4.0,4685.95,-2026.0,8256.65,0.0,4.35,1,0,0,Warning
2022-11-02,61,75,61,38,148741,36190,112551,0,None,0,0,None,None,0,Gas,30233,8,Stable,0.62,2438.38,1845.1,1088.9,0.0,1.23,0,0,0,Good
2013-05-22,66,10,66,10,59856,69544,-9688,56,Vegetables,56,115528,None,None,0,Gas,15976,4,Check food/donations,0.15,906.91,-146.79,1295.76,0.85,0.15,0,0,0,Warning
2014-12-05,26,21,26,21,71403,50306,21097,5,Rice,5,10890,None,None,0,Gas,36201,5,Check food/donations,0.81,2746.27,811.42,3327.19,0.19,0.81,0,0,0,Critical
2022-03-29,84,113,84,42,66568,90644,-24076,0,None,0,0,Water Shortage,None,0,Electricity,50534,9,Check food/donations,0.5,792.48,-286.62,1680.69,0.0,1.35,1,0,1,Warning
2012-04-30,33,113,33,65,10321,149529,-139208,0,None,0,0,None,None,0,Water,58770,8,Check food/donations,1.97,312.76,-4218.42,6312.09,0.0,3.42,0,0,1,Critical
2021-01-03,63,89,63,57,114970,146634,-31664,0,None,0,0,None,None,0,Gas,39150,5,Check food/donations,0.9,1824.92,-502.6,2948.95,0.0,1.41,0,0,0,Critical
2011-06-26,31,107,31,18,93674,39114,54560,0,None,0,0,None,None,0,Electricity,52395,5,Stable,0.58,3021.74,1760.0,2951.9,0.0,3.45,0,0,1,Good
2017-09-15,49,94,49,70,130122,17561,112561,0,None,0,0,None,None,0,Internet,48637,4,Stable,1.43,2655.55,2297.16,1350.98,0.0,1.92,0,0,1,Good
2017-09-26,85,52,85,52,196642,67952,128690,33,Maize Flour,33,52866,None,None,0,Electricity,55687,9,Check food/donations,0.61,2313.44,1514.0,1454.58,0.39,0.61,0,0,1,Warning
2010-02-06,88,39,88,39,186874,114813,72061,49,Rice,49,116375,None,Fever,13531,Water,17786,4,Check food/donations,0.44,2123.57,818.88,1660.57,0.56,0.44,0,1,0,Warning
2013-02-18,20,45,20,9,189578,54611,134967,0,None,0,0,None,None,0,Internet,39947,7,Stable,0.45,9478.9,6748.35,4727.9,0.0,2.25,0,0,0,Good
2017-06-06,65,75,65,33,172103,80597,91506,0,None,0,0,None,None,0,Electricity,50911,10,Stable,0.51,2647.74,1407.78,2023.2,0.0,1.15,0,0,1,Good
2024-04-07,32,9,32,9,100149,110768,-10619,23,Vegetables,23,52348,None,None,0,Water,45065,7,Check food/donations,0.28,3129.66,-331.84,4869.78,0.72,0.28,0,0,1,Warning
2015-02-08,53,39,53,16,61030,52340,8690,14,Vegetables,14,33502,Water Shortage,None,0,Internet,29751,10,Check food/donations,0.3,1151.51,163.96,1548.89,0.26,0.74,1,0,0,Warning
2021-10-08,64,69,64,66,53462,65138,-11676,0,None,0,0,None,None,0,Water,52101,5,Check food/donations,1.03,835.34,-182.44,1831.86,0.0,1.08,0,0,1,Critical
2011-07-02,68,6,68,6,31889,17075,14814,62,Beans,62,149606,None,None,0,Water,32865,9,Check food/donations,0.09,468.96,217.85,734.41,0.91,0.09,0,0,0,Warning
2014-07-13,38,40,38,40,175055,125624,49431,0,None,0,0,None,None,0,Gas,44603,8,Stable,1.05,4606.71,1300.82,4479.66,0.0,1.05,0,0,1,Good
2017-03-15,63,104,63,18,97894,41711,56183,0,None,0,0,None,Fever,28325,Gas,37964,6,Stable,0.29,1553.87,891.79,1714.29,0.0,1.65,0,1,0,Warning
2018-07-07,75,18,75,18,93135,124626,-31491,57,Maize Flour,57,105450,Sickness,Diarrhea,18681,Gas,55235,4,Check food/donations,0.24,1241.8,-419.88,2647.23,0.76,0.24,1,1,1,Warning
2011-01-08,44,117,44,37,112314,83178,29136,0,None,0,0,None,None,0,Electricity,27454,6,Stable,0.84,2552.59,662.18,2514.36,0.0,2.66,0,0,0,Critical
2024-11-27,27,57,27,57,92769,69173,23596,0,None,0,0,None,None,0,Water,33625,10,Stable,2.11,3435.89,873.93,3807.33,0.0,2.11,0,0,0,Critical
2013-08-02,70,32,70,32,125962,134882,-8920,38,Vegetables,38,70186,Water Shortage,Fever,27353,Electricity,19699,5,Check food/donations,0.46,1799.46,-127.43,2599.06,0.54,0.46,1,1,0,Warning
2013-05-11,22,73,22,7,153103,144371,8732,0,None,0,0,Fire,None,0,Electricity,16731,4,Stable,0.32,6959.23,396.91,7322.82,0.0,3.32,1,0,0,Warning
2016-07-25,79,10,79,10,118845,60234,58611,69,Maize Flour,69,140208,Sickness,None,0,Internet,28422,6,Check food/donations,0.13,1504.37,741.91,1122.23,0.87,0.13,1,0,0,Warning
2012-01-13,76,59,76,59,133897,122457,11440,17,Vegetables,17,27472,None,None,0,Water,59283,9,Check food/donations,0.78,1761.8,150.53,2391.32,0.22,0.78,0,0,1,Warning
2012-08-28,67,27,67,12,106647,129543,-22896,40,Vegetables,40,97480,None,None,0,Internet,32995,4,Check food/donations,0.18,1591.75,-341.73,2425.94,0.6,0.4,0,0,0,Warning
2013-01-08,87,23,87,23,169908,143040,26868,64,Beans,64,97920,None,None,0,Gas,15999,10,Check food/donations,0.26,1952.97,308.83,1828.03,0.74,0.26,0,0,0,Warning
2015-02-01,45,117,45,72,132262,78639,53623,0,None,0,0,None,Fever,5974,Gas,59008,5,Stable,1.6,2939.16,1191.62,3191.58,0.0,2.6,0,1,1,Warning
2021-03-13,94,27,94,27,102281,117603,-15322,67,Beans,67,131253,Power Outage,None,0,Electricity,36593,10,Check food/donations,0.29,1088.1,-163.0,1640.38,0.71,0.29,1,0,0,Warning
2010-08-15,61,76,61,22,21666,92280,-70614,0,None,0,0,None,None,0,Internet,36975,10,Check food/donations,0.36,355.18,-1157.61,2118.93,0.0,1.25,0,0,0,Critical
2017-08-11,55,99,55,63,109615,85801,23814,0,None,0,0,None,None,0,Gas,24922,8,Stable,1.15,1993.0,432.98,2013.15,0.0,1.8,0,0,0,Critical
2022-10-24,38,41,38,41,28448,23156,5292,0,None,0,0,None,None,0,Gas,58062,10,Stable,1.08,748.63,139.26,2137.32,0.0,1.08,0,0,1,Critical
2017-08-04,38,107,38,63,56050,70649,-14599,0,None,0,0,Fire,Diarrhea,32996,Water,45888,4,Check food/donations,1.66,1475.0,-384.18,3935.08,0.0,2.82,1,1,1,Warning
2020-04-22,24,104,24,59,128906,109915,18991,0,None,0,0,None,None,0,Internet,45407,5,Stable,2.46,5371.08,791.29,6471.75,0.0,4.33,0,0,1,Critical
2020-03-16,43,102,43,79,82232,94641,-12409,0,None,0,0,Water Shortage,Malaria,2258,Electricity,44038,7,Check food/donations,1.84,1912.37,-288.58,3277.6,0.0,2.37,1,1,1,Warning
2015-02-14,63,84,63,17,111489,74764,36725,0,None,0,0,None,Malaria,26949,Gas,41189,8,Stable,0.27,1769.67,582.94,2268.29,0.0,1.33,0,1,1,Warning
2015-06-13,43,32,43,32,146003,77466,68537,11,Beans,11,17919,None,None,0,Internet,33750,7,Check food/donations,0.74,3395.42,1593.88,2586.42,0.26,0.74,0,0,0,Warning
2016-06-09,72,98,72,21,149246,106349,42897,0,None,0,0,None,None,0,Gas,42915,10,Stable,0.29,2072.86,595.79,2073.11,0.0,1.36,0,0,1,Good
2019-11-08,77,96,77,80,50548,92689,-42141,0,None,0,0,None,Fever,29861,Gas,55459,3,Check food/donations,1.04,656.47,-547.29,2311.81,0.0,1.25,0,1,1,Warning
2022-09-24,55,24,55,5,138789,121065,17724,31,Maize Flour,31,51398,Fire,None,0,Electricity,16594,8,Check food/donations,0.09,2523.44,322.25,2502.89,0.56,0.44,1,0,0,Warning
2014-07-10,62,64,62,64,75629,128279,-52650,0,None,0,0,None,Malaria,33696,Gas,18952,6,Check food/donations,1.03,1219.82,-849.19,2918.18,0.0,1.03,0,1,0,Warning
2020-07-29,65,17,65,17,131587,28824,102763,48,Beans,48,75984,Sickness,None,0,Internet,43594,4,Check food/donations,0.26,2024.42,1580.97,1114.12,0.74,0.26,1,0,1,Warning
2015-04-16,29,109,29,37,760,19795,-19035,0,None,0,0,None,None,0,Internet,44963,5,Check food/donations,1.28,26.21,-656.38,2233.03,0.0,3.76,0,0,1,Critical
2024-11-22,96,15,96,15,129260,93107,36153,81,Vegetables,81,174069,None,None,0,Gas,39562,10,Check food/donations,0.16,1346.46,376.59,1381.97,0.84,0.16,0,0,0,Warning
2022-08-16,92,55,92,46,120977,78070,42907,37,Rice,37,81622,None,Diarrhea,18664,Water,15876,4,Check food/donations,0.5,1314.97,466.38,1224.02,0.4,0.6,0,1,0,Warning
2020-01-14,49,29,49,29,150542,139210,11332,20,Vegetables,20,30100,Power Outage,None,0,Gas,25466,5,Check food/donations,0.59,3072.29,231.27,3360.73,0.41,0.59,1,0,0,Warning
2014-08-14,35,12,35,12,180694,93387,87307,23,Vegetables,23,46345,Power Outage,None,0,Electricity,46869,8,Check food/donations,0.34,5162.69,2494.49,4007.31,0.66,0.34,1,0,1,Warning
2023-02-04,24,31,24,31,72994,36135,36859,0,None,0,0,None,None,0,Internet,43824,7,Stable,1.29,3041.42,1535.79,3331.62,0.0,1.29,0,0,1,Good
2013-11-29,95,34,95,34,99670,51710,47960,61,Maize Flour,61,121329,None,None,0,Water,42636,8,Check food/donations,0.36,1049.16,504.84,993.12,0.64,0.36,0,0,1,Warning
2013-11-16,22,61,22,15,169755,34245,135510,0,None,0,0,None,None,0,Gas,50969,9,Stable,0.68,7716.14,6159.55,3873.36,0.0,2.77,0,0,1,Good
2010-12-16,20,93,20,41,94836,89485,5351,0,None,0,0,Power Outage,None,0,Water,50151,5,Stable,2.05,4741.8,267.55,6981.8,0.0,4.65,1,0,1,Warning
2018-12-08,49,115,49,56,55025,68439,-13414,0,None,0,0,Fire,None,0,Electricity,58092,7,Check food/donations,1.14,1122.96,-273.76,2582.27,0.0,2.35,1,0,1,Warning
2010-01-22,74,98,74,26,6044,23774,-17730,0,None,0,0,Water Shortage,None,0,Water,44241,6,Check food/donations,0.35,81.68,-239.59,919.12,0.0,1.32,1,0,1,Warning
2019-08-23,100,73,100,53,112115,36229,75886,27,Rice,27,48303,None,None,0,Water,45195,3,Check food/donations,0.53,1121.15,758.86,814.24,0.27,0.73,0,0,1,Warning
2011-12-15,74,116,74,48,188281,149858,38423,0,None,0,0,None,None,0,Electricity,54196,6,Stable,0.65,2544.34,519.23,2757.49,0.0,1.57,0,0,1,Good
2015-08-10,80,90,80,74,181426,23975,157451,0,None,0,0,None,Diarrhea,13169,Water,59046,4,Stable,0.93,2267.82,1968.14,1202.38,0.0,1.12,0,1,1,Warning
2014-11-05,67,34,67,26,64912,126904,-61992,33,Vegetables,33,69564,Water Shortage,Flu,33596,Internet,20549,7,Check food/donations,0.39,968.84,-925.25,2702.22,0.49,0.51,1,1,0,Warning
2023-05-24,45,17,45,9,12773,21293,-8520,28,Rice,28,50680,Fire,None,0,Gas,37034,8,Check food/donations,0.2,283.84,-189.33,1296.16,0.62,0.38,1,0,0,Warning
2019-09-04,69,5,69,5,62689,120646,-57957,64,Rice,64,132160,Power Outage,Malaria,5688,Water,37586,8,Check food/donations,0.07,908.54,-839.96,2375.65,0.93,0.07,1,1,0,Warning
2022-10-20,94,37,94,25,28298,75180,-46882,57,Maize Flour,57,103170,None,Diarrhea,32684,Water,45279,8,Check food/donations,0.27,301.04,-498.74,1629.18,0.61,0.39,0,1,1,Warning
2015-04-02,24,44,24,44,106279,129533,-23254,0,None,0,0,None,None,0,Electricity,40090,5,Check food/donations,1.83,4428.29,-968.92,7067.62,0.0,1.83,0,0,1,Critical
2021-02-18,71,115,71,20,46418,38598,7820,0,None,0,0,Power Outage,Flu,14946,Electricity,22291,10,Stable,0.28,653.77,110.14,1068.1,0.0,1.62,1,1,0,Warning
2011-05-26,74,16,74,16,5669,111796,-106127,58,Beans,58,124294,None,None,0,Water,15442,6,Check food/donations,0.22,76.61,-1434.15,1719.43,0.78,0.22,0,0,0,Warning
2021-05-17,41,91,41,62,101254,95241,6013,0,None,0,0,Water Shortage,None,0,Internet,55160,9,Stable,1.51,2469.61,146.66,3668.32,0.0,2.22,1,0,1,Warning
2013-11-06,62,16,62,16,79457,17624,61833,46,Beans,46,93886,Sickness,None,0,Gas,42123,7,Check food/donations,0.26,1281.56,997.31,963.66,0.74,0.26,1,0,1,Warning
2010-11-30,68,118,68,36,160920,32980,127940,0,None,0,0,None,None,0,Water,41264,6,Stable,0.53,2366.47,1881.47,1091.82,0.0,1.74,0,0,1,Good
2015-11-19,52,41,52,38,36325,45567,-9242,11,Maize Flour,11,19283,None,None,0,Internet,31619,8,Check food/donations,0.73,698.56,-177.73,1484.35,0.21,0.79,0,0,0,Warning
2014-12-04,75,8,75,8,172078,53497,118581,67,Vegetables,67,150549,Water Shortage,None,0,Water,44826,5,Check food/donations,0.11,2294.37,1581.08,1310.97,0.89,0.11,1,0,1,Warning
2016-09-12,48,114,48,21,29663,48265,-18602,0,None,0,0,None,Fever,32461,Water,53077,5,Check food/donations,0.44,617.98,-387.54,2787.56,0.0,2.38,0,1,1,Warning
2024-05-02,68,25,68,25,12795,104975,-92180,43,Rice,43,94299,Power Outage,None,0,Gas,36548,3,Check food/donations,0.37,188.16,-1355.59,2081.22,0.63,0.37,1,0,0,Warning
2020-02-15,72,56,72,56,65436,118195,-52759,16,Rice,16,26960,Fire,None,0,Electricity,15202,4,Check food/donations,0.78,908.83,-732.76,1852.74,0.22,0.78,1,0,0,Warning
2024-12-13,78,72,78,69,74141,118400,-44259,6,Beans,6,14526,Power Outage,None,0,Water,39764,10,Check food/donations,0.88,950.53,-567.42,2027.74,0.08,0.92,1,0,0,Warning
2019-05-31,27,91,27,57,128072,18443,109629,0,None,0,0,None,None,0,Water,45853,3,Stable,2.11,4743.41,4060.33,2381.33,0.0,3.37,0,0,1,Good
2024-04-04,41,99,41,50,94369,108774,-14405,0,None,0,0,None,None,0,Gas,48322,7,Check food/donations,1.22,2301.68,-351.34,3831.61,0.0,2.41,0,0,1,Critical
2017-07-24,27,88,27,48,187815,22992,164823,0,None,0,0,None,None,0,Water,29070,10,Stable,1.78,6956.11,6104.56,1928.22,0.0,3.26,0,0,0,Good
2019-05-31,45,120,45,63,15794,122285,-106491,0,None,0,0,None,Diarrhea,22477,Electricity,35999,7,Check food/donations,1.4,350.98,-2366.47,4016.91,0.0,2.67,0,1,0,Warning
2016-04-03,78,34,78,34,128602,47930,80672,44,Maize Flour,44,85140,Power Outage,None,0,Gas,38198,10,Check food/donations,0.44,1648.74,1034.26,1104.21,0.56,0.44,1,0,0,Warning
2012-07-19,44,82,44,32,80902,21141,59761,0,None,0,0,None,Fever,6457,Water,21106,6,Stable,0.73,1838.68,1358.2,1106.91,0.0,1.86,0,1,0,Warning
2019-04-07,66,12,66,12,41993,16843,25150,54,Vegetables,54,133164,Fire,Diarrhea,34915,Gas,26557,9,Check food/donations,0.18,636.26,381.06,1186.59,0.82,0.18,1,1,0,Warning
2016-10-20,74,82,74,18,97734,136142,-38408,0,None,0,0,Power Outage,None,0,Electricity,43417,3,Check food/donations,0.24,1320.73,-519.03,2426.47,0.0,1.11,1,0,1,Warning
2014-06-24,71,104,71,43,43726,82178,-38452,0,None,0,0,Power Outage,None,0,Internet,59795,9,Check food/donations,0.61,615.86,-541.58,1999.62,0.0,1.46,1,0,1,Warning
2021-05-13,69,8,69,7,140271,62037,78234,61,Vegetables,61,112911,None,None,0,Water,57811,9,Check food/donations,0.1,2032.91,1133.83,1736.93,0.88,0.12,0,0,1,Warning
2011-12-21,60,86,60,28,46945,57412,-10467,0,None,0,0,None,None,0,Gas,57321,10,Check food/donations,0.47,782.42,-174.45,1912.22,0.0,1.43,0,0,1,Critical
2016-03-03,74,93,74,48,177882,46774,131108,0,None,0,0,None,None,0,Water,55074,8,Stable,0.65,2403.81,1771.73,1376.32,0.0,1.26,0,0,1,Good
2020-02-17,82,66,82,15,97968,21474,76494,16,Rice,16,34704,Fire,None,0,Internet,32862,7,Check food/donations,0.18,1194.73,932.85,662.63,0.2,0.8,1,0,0,Warning
2015-05-27,61,24,61,24,60454,83373,-22919,37,Rice,37,64232,None,None,0,Internet,38774,10,Check food/donations,0.39,991.05,-375.72,2002.41,0.61,0.39,0,0,0,Warning
2015-09-15,57,116,57,80,119197,34283,84914,0,None,0,0,None,None,0,Gas,52216,6,Stable,1.4,2091.18,1489.72,1517.53,0.0,2.04,0,0,1,Good
2011-07-28,71,45,71,45,147317,36880,110437,26,Vegetables,26,43602,Power Outage,None,0,Gas,26348,3,Check food/donations,0.63,2074.89,1555.45,890.54,0.37,0.63,1,0,0,Warning
2018-07-30,91,49,91,48,102542,70781,31761,42,Rice,42,93996,Fire,None,0,Electricity,24367,7,Check food/donations,0.53,1126.84,349.02,1045.58,0.46,0.54,1,0,0,Warning
2022-05-02,69,107,69,46,122908,105935,16973,0,None,0,0,None,None,0,Gas,57548,3,Stable,0.67,1781.28,245.99,2369.32,0.0,1.55,0,0,1,Critical
2014-06-27,43,102,43,47,92169,70336,21833,0,None,0,0,None,None,0,Gas,58096,6,Stable,1.09,2143.47,507.74,2986.79,0.0,2.37,0,0,1,Critical
2018-05-06,23,74,23,74,186986,128738,58248,0,None,0,0,None,None,0,Gas,55856,6,Stable,3.22,8129.83,2532.52,8025.83,0.0,3.22,0,0,1,Good
2018-12-15,48,50,48,43,44446,61633,-17187,0,None,0,0,Power Outage,None,0,Gas,56189,6,Check food/donations,0.9,925.96,-358.06,2454.62,0.0,1.04,1,0,1,Warning
2010-01-09,67,50,67,19,14655,24437,-9782,17,Maize Flour,17,29393,None,Malaria,21349,Electricity,55885,10,Check food/donations,0.28,218.73,-146.0,1517.48,0.25,0.75,0,1,1,Warning
2019-01-01,42,65,42,34,183138,51132,132006,0,None,0,0,None,None,0,Electricity,42712,3,Stable,0.81,4360.43,3143.0,2234.38,0.0,1.55,0,0,1,Good
2013-03-02,63,104,63,45,122156,57588,64568,0,None,0,0,None,None,0,Internet,49974,6,Stable,0.71,1938.98,1024.89,1707.33,0.0,1.65,0,0,1,Good
2023-09-24,29,109,29,19,3771,77804,-74033,0,None,0,0,Power Outage,None,0,Internet,19428,3,Check food/donations,0.66,130.03,-2552.86,3352.83,0.0,3.76,1,0,0,Warning
2014-02-14,63,48,63,16,24305,108228,-83923,15,Vegetables,15,28350,None,None,0,Gas,49958,5,Check food/donations,0.25,385.79,-1332.11,2510.89,0.24,0.76,0,0,1,Warning
2017-01-21,77,111,77,39,15256,79384,-64128,0,None,0,0,None,None,0,Electricity,54701,8,Check food/donations,0.51,198.13,-832.83,1741.36,0.0,1.44,0,0,1,Critical
2022-08-12,72,74,72,24,5954,40838,-34884,0,None,0,0,Water Shortage,None,0,Gas,32283,5,Check food/donations,0.33,82.69,-484.5,1015.57,0.0,1.03,1,0,0,Warning
2013-02-16,94,112,94,43,165046,65195,99851,0,None,0,0,None,None,0,Internet,16349,7,Stable,0.46,1755.81,1062.24,867.49,0.0,1.19,0,0,0,Good
2013-03-16,73,9,73,9,198083,49791,148292,64,Maize Flour,64,142080,Water Shortage,Fever,31723,Internet,47730,7,Check food/donations,0.12,2713.47,2031.4,1770.47,0.88,0.12,1,1,1,Warning
2014-12-27,41,82,41,25,117435,31911,85524,0,None,0,0,None,None,0,Internet,49798,5,Stable,0.61,2864.27,2085.95,1992.9,0.0,2.0,0,0,1,Good
2010-07-14,94,24,94,24,142345,107563,34782,70,Rice,70,168280,Water Shortage,None,0,Gas,55121,8,Check food/donations,0.26,1514.31,370.02,1730.68,0.74,0.26,1,0,1,Warning
2021-03-07,45,77,45,45,146444,144366,2078,0,None,0,0,None,None,0,Water,27573,4,Stable,1.0,3254.31,46.18,3820.87,0.0,1.71,0,0,0,Critical
2023-05-13,63,47,63,32,117590,45190,72400,16,Beans,16,35712,None,None,0,Internet,16704,3,Check food/donations,0.51,1866.51,1149.21,982.44,0.25,0.75,0,0,0,Warning
2019-03-05,89,103,89,22,147803,82823,64980,0,None,0,0,None,None,0,Gas,52061,9,Stable,0.25,1660.71,730.11,1515.55,0.0,1.16,0,0,1,Good
2013-01-23,100,59,100,14,113871,75189,38682,41,Beans,41,87248,Sickness,None,0,Electricity,55771,10,Check food/donations,0.14,1138.71,386.82,1309.6,0.41,0.59,1,0,1,Warning
2011-03-24,83,9,83,9,32763,53515,-20752,74,Vegetables,74,140230,Water Shortage,None,0,Internet,32934,6,Check food/donations,0.11,394.73,-250.02,1041.55,0.89,0.11,1,0,0,Warning
2012-11-05,44,77,44,38,99668,78628,21040,0,None,0,0,None,None,0,Gas,43459,3,Stable,0.86,2265.18,478.18,2774.7,0.0,1.75,0,0,1,Critical
2012-04-07,90,72,90,70,73860,121574,-47714,18,Rice,18,28278,Power Outage,None,0,Gas,23949,4,Check food/donations,0.78,820.67,-530.16,1616.92,0.2,0.8,1,0,0,Warning
2012-10-14,68,83,68,52,21088,124222,-103134,0,None,0,0,Power Outage,None,0,Internet,24841,5,Check food/donations,0.76,310.12,-1516.68,2192.1,0.0,1.22,1,0,0,Warning
