Date,Num_Children,Food_Remaining,Daily_Need,Food_Used,Donation_Amount,Expense_Total,Budget_Left,Food_Shortage,Suggested_Purchase,Quantity_To_Buy,Estimated_Cost,Emergency_Event,Medical_Treatment,Medical_Cost,Utility_Type,Utility_Cost,Staff_On_Duty,Notes,Food_Per_Child,Donation_Per_Child,Budget_Per_Child,Cost_Per_Child,Food_Shortage_Per_Child,Remaining_Days_Covered,Emergency_Flag,Medical_Flag,High_Utility_Cost,Daily_Status
2022-03-20,90,120,90,55,64137,135012,-70875,0,None,0,0,Power Outage,Malaria,24557,Water,42678,5,Check food/donations,0.61,712.63,-787.5,2247.19,0.0,1.33,1,1,1,Warning
2013-08-29,85,103,85,17,123254,33816,89438,0,None,0,0,None,Fever,30679,Electricity,41459,8,Stable,0.2,1450.05,1052.21,1246.52,0.0,1.21,0,1,1,Warning
2022-09-29,85,107,85,34,169813,88027,81786,0,None,0,0,None,None,0,Water,33987,4,Stable,0.4,1997.8,962.19,1435.46,0.0,1.26,0,0,0,Good
2024-08-13,95,24,95,24,172182,59364,112818,71,Vegetables,71,169548,None,None,0,Internet,21999,7,Check food/donations,0.25,1812.44,1187.56,856.45,0.75,0.25,0,0,0,Warning
2023-05-11,70,25,70,25,75590,100646,-25056,45,Beans,45,80820,Water Shortage,None,0,Gas,47906,3,Check food/donations,0.36,1079.86,-357.94,2122.17,0.64,0.36,1,0,1,Warning
2022-05-09,38,44,38,43,106189,114284,-8095,0,None,0,0,Power Outage,None,0,Water,32804,9,Check food/donations,1.13,2794.45,-213.03,3870.74,0.0,1.16,1,0,0,Warning
2015-03-16,34,82,34,46,102106,65417,36689,0,None,0,0,None,None,0,Electricity,44343,7,Stable,1.35,3003.12,1079.09,3228.24,0.0,2.41,0,0,1,Good
2010-08-08,81,40,81,40,182300,19406,162894,41,Vegetables,41,88150,Water Shortage,None,0,Gas,26116,9,Check food/donations,0.49,2250.62,2011.04,562.0,0.51,0.49,1,0,0,Warning
2023-01-10,92,21,92,21,196057,85411,110646,71,Rice,71,119209,Power Outage,Fever,25095,Water,27942,10,Check food/donations,0.23,2131.05,1202.67,1504.87,0.77,0.23,1,1,0,Warning
2014-12-23,27,42,27,42,97212,44155,53057,0,None,0,0,None,None,0,Water,19108,3,Stable,1.56,3600.44,1965.07,2343.07,0.0,1.56,0,0,0,Good
2010-12-24,66,68,66,67,89913,97493,-7580,0,None,0,0,Power Outage,None,0,Electricity,22956,4,Check food/donations,1.02,1362.32,-114.85,1824.98,0.0,1.03,1,0,0,Warning
2014-12-19,94,86,94,34,140813,29319,111494,8,Beans,8,13824,None,Diarrhea,25865,Water,35970,10,Check food/donations,0.36,1498.01,1186.11,969.72,0.09,0.91,0,1,0,Warning
2020-04-17,38,107,38,28,117656,65963,51693,0,None,0,0,None,None,0,Gas,15543,3,Stable,0.74,3096.21,1360.34,2144.89,0.0,2.82,0,0,0,Good
2023-04-01,55,9,55,9,61941,135477,-73536,46,Beans,46,112194,Power Outage,None,0,Electricity,23650,3,Check food/donations,0.16,1126.2,-1337.02,2893.22,0.84,0.16,1,0,0,Warning
2023-05-09,100,84,100,19,58313,147726,-89413,16,Maize Flour,16,29792,Power Outage,None,0,Internet,19412,3,Check food/donations,0.19,583.13,-894.13,1671.38,0.16,0.84,1,0,0,Warning
2020-04-08,80,42,80,42,51212,68606,-17394,38,Rice,38,65968,Water Shortage,None,0,Electricity,36911,4,Check food/donations,0.53,640.15,-217.43,1318.96,0.47,0.53,1,0,0,Warning
2013-05-06,23,53,23,7,15759,36517,-20758,0,None,0,0,Fire,Flu,21963,Electricity,28875,9,Check food/donations,0.3,685.17,-902.52,3798.04,0.0,2.3,1,1,0,Warning
2011-10-06,62,56,62,56,48432,80946,-32514,6,Vegetables,6,11370,None,None,0,Water,55527,6,Check food/donations,0.9,781.16,-524.42,2201.18,0.1,0.9,0,0,1,Warning
2010-04-12,99,14,99,14,96570,79146,17424,85,Rice,85,206210,None,None,0,Internet,45767,8,Check food/donations,0.14,975.45,176.0,1261.75,0.86,0.14,0,0,1,Warning
2021-11-29,66,33,66,33,193842,121315,72527,33,Rice,33,51513,Sickness,None,0,Internet,54573,10,Check food/donations,0.5,2937.0,1098.89,2664.97,0.5,0.5,1,0,1,Warning
2022-10-15,96,47,96,6,35239,19126,16113,49,Maize Flour,49,75264,None,None,0,Electricity,23393,7,Check food/donations,0.06,367.07,167.84,442.91,0.51,0.49,0,0,0,Warning
2015-10-14,29,104,29,80,175417,132776,42641,0,None,0,0,None,None,0,Gas,25157,6,Stable,2.76,6048.86,1470.38,5445.97,0.0,3.59,0,0,0,Good
2022-06-14,53,46,53,29,78613,137840,-59227,7,Vegetables,7,14469,None,None,0,Water,17247,7,Check food/donations,0.55,1483.26,-1117.49,2926.17,0.13,0.87,0,0,0,Warning
2011-04-05,84,16,84,16,44201,129732,-85531,68,Maize Flour,68,120972,None,None,0,Gas,48009,9,Check food/donations,0.19,526.2,-1018.23,2115.96,0.81,0.19,0,0,1,Warning
2012-10-29,48,80,48,68,132223,93456,38767,0,None,0,0,None,None,0,Water,59661,7,Stable,1.42,2754.65,807.65,3189.94,0.0,1.67,0,0,1,Good
2011-04-11,92,114,92,41,101632,90113,11519,0,None,0,0,None,None,0,Gas,17147,6,Stable,0.45,1104.7,125.21,1165.87,0.0,1.24,0,0,0,Critical
2017-01-27,29,104,29,46,98762,21369,77393,0,None,0,0,None,None,0,Gas,29558,6,Stable,1.59,3405.59,2668.72,1756.1,0.0,3.59,0,0,0,Good
2017-06-29,35,47,35,20,147005,24040,122965,0,None,0,0,None,None,0,Internet,36634,9,Stable,0.57,4200.14,3513.29,1733.54,0.0,1.34,0,0,0,Good
2017-03-12,52,64,52,64,151759,67393,84366,0,None,0,0,None,None,0,Water,36142,9,Stable,1.23,2918.44,1622.42,1991.06,0.0,1.23,0,0,0,Good
2010-03-05,54,98,54,62,65189,65070,119,0,None,0,0,Sickness,None,0,Gas,19718,5,Stable,1.15,1207.2,2.2,1570.15,0.0,1.81,1,0,0,Warning
2011-11-24,56,68,56,68,13016,54919,-41903,0,None,0,0,Sickness,None,0,Water,31951,5,Check food/donations,1.21,232.43,-748.27,1551.25,0.0,1.21,1,0,0,Warning
2011-02-02,45,114,45,37,104611,25999,78612,0,None,0,0,None,None,0,Water,24466,7,Stable,0.82,2324.69,1746.93,1121.44,0.0,2.53,0,0,0,Good
2017-11-11,55,101,55,34,154915,62812,92103,0,None,0,0,None,None,0,Water,42856,8,Stable,0.62,2816.64,1674.6,1921.24,0.0,1.84,0,0,1,Good
2017-12-31,44,58,44,58,32593,109781,-77188,0,None,0,0,Power Outage,Malaria,14365,Gas,58133,9,Check food/donations,1.32,740.75,-1754.27,4142.7,0.0,1.32,1,1,1,Warning
2011-11-15,55,18,55,18,170952,114318,56634,37,Vegetables,37,87024,Water Shortage,None,0,Gas,39425,4,Check food/donations,0.33,3108.22,1029.71,2795.33,0.67,0.33,1,0,0,Warning
2019-02-19,81,68,81,42,33682,34410,-728,13,Maize Flour,13,21463,None,None,0,Water,53893,4,Check food/donations,0.52,415.83,-8.99,1090.16,0.16,0.84,0,0,1,Warning
2022-02-16,61,33,61,18,182851,143612,39239,28,Rice,28,47124,Water Shortage,None,0,Electricity,24616,5,Check food/donations,0.3,2997.56,643.26,2757.84,0.46,0.54,1,0,0,Warning
2024-06-14,87,37,87,37,105888,76100,29788,50,Rice,50,94200,Sickness,None,0,Internet,36877,5,Check food/donations,0.43,1217.1,342.39,1298.59,0.57,0.43,1,0,0,Warning
2024-06-20,62,73,62,73,117427,94459,22968,0,None,0,0,None,None,0,Water,24211,6,Stable,1.18,1893.98,370.45,1914.03,0.0,1.18,0,0,0,Critical
2019-05-25,55,74,55,74,1469,113950,-112481,0,None,0,0,None,Flu,13375,Internet,27740,8,Check food/donations,1.35,26.71,-2045.11,2819.36,0.0,1.35,0,1,0,Warning
2014-04-08,90,13,90,13,182167,15786,166381,77,Vegetables,77,124663,None,Malaria,14274,Gas,48721,6,Check food/donations,0.14,2024.08,1848.68,875.34,0.86,0.14,0,1,1,Warning
2022-07-01,68,44,68,10,141206,54184,87022,24,Maize Flour,24,43104,Power Outage,Fever,29926,Gas,56443,3,Check food/donations,0.15,2076.56,1279.74,2066.96,0.35,0.65,1,1,1,Warning
2020-07-14,23,69,23,58,161049,28157,132892,0,None,0,0,None,Malaria,30562,Gas,51389,3,Stable,2.52,7002.13,5777.91,4787.3,0.0,3.0,0,1,1,Warning
2016-03-05,58,120,58,38,29768,128301,-98533,0,None,0,0,None,None,0,Electricity,23853,9,Check food/donations,0.66,513.24,-1698.84,2623.34,0.0,2.07,0,0,0,Critical
2015-01-17,49,11,49,11,179525,70454,109071,38,Beans,38,93176,Water Shortage,None,0,Water,50832,9,Check food/donations,0.22,3663.78,2225.94,2475.22,0.78,0.22,1,0,1,Warning
2020-09-28,27,68,27,44,170652,67776,102876,0,None,0,0,None,Fever,32766,Internet,46643,10,Stable,1.63,6320.44,3810.22,5451.3,0.0,2.52,0,1,1,Warning
2012-08-16,61,15,61,15,86271,92825,-6554,46,Beans,46,103040,None,Malaria,10519,Internet,57022,6,Check food/donations,0.25,1414.28,-107.44,2628.95,0.75,0.25,0,1,1,Warning
2015-03-26,73,27,73,27,118113,93875,24238,46,Maize Flour,46,104834,None,Diarrhea,30915,Water,46291,4,Check food/donations,0.37,1617.99,332.03,2343.58,0.63,0.37,0,1,1,Warning
2010-12-08,92,20,92,20,65297,77950,-12653,72,Maize Flour,72,134928,Power Outage,None,0,Electricity,31569,5,Check food/donations,0.22,709.75,-137.53,1190.42,0.78,0.22,1,0,0,Warning
2024-06-02,25,56,25,56,9014,137932,-128918,0,None,0,0,None,None,0,Electricity,54173,10,Check food/donations,2.24,360.56,-5156.72,7684.2,0.0,2.24,0,0,1,Critical
2024-04-25,99,79,99,35,173096,28929,144167,20,Beans,20,49800,Water Shortage,None,0,Electricity,52583,4,Check food/donations,0.35,1748.44,1456.23,823.35,0.2,0.8,1,0,1,Warning
2017-11-15,46,6,46,6,135500,133517,1983,40,Beans,40,97800,None,Malaria,20968,Electricity,54984,10,Check food/donations,0.13,2945.65,43.11,4553.67,0.87,0.13,0,1,1,Warning
2017-04-14,54,105,54,41,192924,58253,134671,0,None,0,0,None,None,0,Internet,30070,7,Stable,0.76,3572.67,2493.91,1635.61,0.0,1.94,0,0,0,Good
2014-01-13,33,106,33,52,105356,138343,-32987,0,None,0,0,None,Flu,31789,Gas,32645,4,Check food/donations,1.58,3192.61,-999.61,6144.76,0.0,3.21,0,1,0,Warning
2010-11-16,35,101,35,48,167582,73127,94455,0,None,0,0,None,None,0,Electricity,28843,10,Stable,1.37,4788.06,2698.71,2913.43,0.0,2.89,0,0,0,Good
2018-12-31,87,94,87,45,74261,82002,-7741,0,None,0,0,None,None,0,Electricity,58892,4,Check food/donations,0.52,853.57,-88.98,1619.47,0.0,1.08,0,0,1,Critical
2019-02-05,83,30,83,30,99359,103233,-3874,53,Beans,53,126723,None,None,0,Gas,59652,9,Check food/donations,0.36,1197.1,-46.67,1962.47,0.64,0.36,0,0,1,Warning
2011-10-04,66,40,66,6,52902,79260,-26358,26,Vegetables,26,50258,None,None,0,Internet,38743,7,Check food/donations,0.09,801.55,-399.36,1787.92,0.39,0.61,0,0,0,Warning
2020-08-15,41,16,41,16,51329,41084,10245,25,Beans,25,54250,Fire,Malaria,23774,Gas,55365,8,Check food/donations,0.39,1251.93,249.88,2932.27,0.61,0.39,1,1,1,Warning
2010-02-04,35,114,35,70,45893,45808,85,0,None,0,0,Power Outage,None,0,Internet,39811,7,Stable,2.0,1311.23,2.43,2446.26,0.0,3.26,1,0,0,Warning
2018-12-18,45,13,45,13,140942,24746,116196,32,Rice,32,54976,None,None,0,Internet,43024,4,Check food/donations,0.29,3132.04,2582.13,1506.0,0.71,0.29,0,0,1,Warning
2024-07-09,66,92,66,51,19239,31762,-12523,0,None,0,0,None,Fever,10329,Gas,20384,9,Check food/donations,0.77,291.5,-189.74,946.59,0.0,1.39,0,1,0,Warning
2016-12-18,39,65,39,55,22078,86184,-64106,0,None,0,0,Fire,None,0,Water,27921,10,Check food/donations,1.41,566.1,-1643.74,2925.77,0.0,1.67,1,0,0,Warning
2012-10-23,89,86,89,76,68448,90256,-21808,3,Maize Flour,3,5739,Fire,None,0,Gas,29269,5,Check food/donations,0.85,769.08,-245.03,1342.98,0.03,0.97,1,0,0,Warning
2013-10-25,93,43,93,43,73511,135715,-62204,50,Beans,50,110150,Water Shortage,Malaria,32735,Gas,47498,8,Check food/donations,0.46,790.44,-668.86,2322.02,0.54,0.46,1,1,1,Warning
2018-07-20,68,83,68,35,87810,91406,-3596,0,None,0,0,None,None,0,Internet,29060,5,Check food/donations,0.51,1291.32,-52.88,1771.56,0.0,1.22,0,0,0,Critical
2018-12-21,92,8,92,8,35103,27962,7141,84,Maize Flour,84,207648,Fire,None,0,Gas,32726,4,Check food/donations,0.09,381.55,77.62,659.65,0.91,0.09,1,0,0,Warning
2017-03-29,52,107,52,48,139572,122368,17204,0,None,0,0,None,Fever,26324,Water,23187,5,Stable,0.92,2684.08,330.85,3305.37,0.0,2.06,0,1,0,Warning
2022-09-28,38,39,38,39,189095,108984,80111,0,None,0,0,None,None,0,Internet,22315,6,Stable,1.03,4976.18,2108.18,3455.24,0.0,1.03,0,0,0,Good
2010-01-01,34,30,34,30,84112,143587,-59475,4,Maize Flour,4,6016,Water Shortage,Fever,26505,Gas,55226,7,Check food/donations,0.88,2473.88,-1749.26,6627.0,0.12,0.88,1,1,1,Warning
2020-04-30,21,95,21,78,16244,19544,-3300,0,None,0,0,Fire,None,0,Water,59933,3,Check food/donations,3.71,773.52,-157.14,3784.62,0.0,4.52,1,0,1,Warning
2019-07-07,86,56,86,6,185587,49180,136407,30,Rice,30,70170,Sickness,Flu,28886,Electricity,29173,8,Check food/donations,0.07,2157.99,1586.13,1246.97,0.35,0.65,1,1,0,Warning
2015-11-09,43,119,43,29,32927,15352,17575,0,None,0,0,None,Fever,13994,Internet,31326,5,Stable,0.67,765.74,408.72,1410.98,0.0,2.77,0,1,0,Warning
2013-12-12,90,107,90,27,91465,40471,50994,0,None,0,0,None,Malaria,32523,Water,38312,5,Stable,0.3,1016.28,566.6,1236.73,0.0,1.19,0,1,0,Warning
2022-09-17,87,16,87,9,173562,107457,66105,71,Rice,71,157194,None,None,0,Internet,21850,9,Check food/donations,0.1,1994.97,759.83,1486.29,0.82,0.18,0,0,0,Warning
2024-05-13,43,120,43,57,181544,41714,139830,0,None,0,0,None,None,0,Water,44444,7,Stable,1.33,4221.95,3251.86,2003.67,0.0,2.79,0,0,1,Good
2016-08-26,71,60,71,53,19384,76798,-57414,11,Rice,11,23958,None,None,0,Water,22556,5,Check food/donations,0.75,273.01,-808.65,1399.35,0.15,0.85,0,0,0,Warning
2011-08-07,82,29,82,29,175114,143552,31562,53,Maize Flour,53,117289,Water Shortage,Diarrhea,10744,Gas,22098,5,Check food/donations,0.35,2135.54,384.9,2151.15,0.65,0.35,1,1,0,Warning
2013-10-01,51,107,51,50,160190,128233,31957,0,None,0,0,None,Fever,14890,Gas,41835,8,Stable,0.98,3140.98,626.61,3626.63,0.0,2.1,0,1,1,Warning
2020-10-15,21,7,21,7,136118,63284,72834,14,Vegetables,14,30268,Water Shortage,None,0,Electricity,33778,5,Check food/donations,0.33,6481.81,3468.29,4622.0,0.67,0.33,1,0,0,Warning
2012-01-23,58,53,58,53,77015,135288,-58273,5,Beans,5,11510,Power Outage,None,0,Water,17318,7,Check food/donations,0.91,1327.84,-1004.71,2631.14,0.09,0.91,1,0,0,Warning
2022-10-30,79,108,79,67,183428,134242,49186,0,None,0,0,None,None,0,Gas,21375,3,Stable,0.85,2321.87,622.61,1969.84,0.0,1.37,0,0,0,Good
2017-08-09,82,47,82,12,130465,121407,9058,35,Beans,35,71190,Power Outage,None,0,Internet,30175,3,Check food/donations,0.15,1591.04,110.46,1848.56,0.43,0.57,1,0,0,Warning
2023-12-08,71,11,71,11,5706,65215,-59509,60,Vegetables,60,121260,None,None,0,Water,31166,4,Check food/donations,0.15,80.37,-838.15,1357.48,0.85,0.15,0,0,0,Warning
2021-09-12,44,33,44,33,118133,132415,-14282,11,Maize Flour,11,20438,None,None,0,Internet,33984,5,Check food/donations,0.75,2684.84,-324.59,3781.8,0.25,0.75,0,0,0,Warning
2012-11-29,26,5,26,5,109245,71966,37279,21,Maize Flour,21,41790,None,Flu,21265,Water,42158,5,Check food/donations,0.19,4201.73,1433.81,5207.27,0.81,0.19,0,1,1,Warning
2011-03-19,55,33,55,9,44997,149959,-104962,22,Vegetables,22,42174,Water Shortage,Flu,4536,Gas,26424,5,Check food/donations,0.16,818.13,-1908.4,3289.44,0.4,0.6,1,1,0,Warning
2017-04-06,43,58,43,37,172503,113174,59329,0,None,0,0,None,Fever,2309,Water,57706,9,Stable,0.86,4011.7,1379.74,4027.65,0.0,1.35,0,1,1,Warning
2014-01-24,77,105,77,78,40208,84316,-44108,0,None,0,0,None,Malaria,2599,Electricity,39683,5,Check food/donations,1.01,522.18,-572.83,1644.13,0.0,1.36,0,1,0,Warning
2014-06-06,33,6,33,6,58078,110625,-52547,27,Maize Flour,27,52920,Sickness,None,0,Gas,39604,3,Check food/donations,0.18,1759.94,-1592.33,4552.39,0.82,0.18,1,0,0,Warning
2010-11-25,55,15,55,15,33767,144603,-110836,40,Beans,40,68240,None,None,0,Water,31726,8,Check food/donations,0.27,613.95,-2015.2,3205.98,0.73,0.27,0,0,0,Warning
2021-01-14,46,97,46,38,88436,115352,-26916,0,None,0,0,None,None,0,Electricity,45397,7,Check food/donations,0.83,1922.52,-585.13,3494.54,0.0,2.11,0,0,1,Critical
2014-07-06,35,76,35,72,84823,90711,-5888,0,None,0,0,None,None,0,Water,21762,5,Check food/donations,2.06,2423.51,-168.23,3213.51,0.0,2.17,0,0,0,Critical
2015-06-23,75,55,75,11,43927,52453,-8526,20,Maize Flour,20,31660,None,None,0,Internet,26715,5,Check food/donations,0.15,585.69,-113.68,1055.57,0.27,0.73,0,0,0,Warning
2011-06-19,97,96,97,47,128725,144632,-15907,1,Vegetables,1,1824,None,None,0,Water,16218,6,Check food/donations,0.48,1327.06,-163.99,1658.25,0.01,0.99,0,0,0,Critical
2016-08-04,53,43,53,43,157187,107411,49776,10,Beans,10,17080,None,None,0,Electricity,36489,3,Check food/donations,0.81,2965.79,939.17,2715.09,0.19,0.81,0,0,0,Warning
2024-06-05,54,62,54,62,49859,20302,29557,0,None,0,0,None,None,0,Electricity,58711,5,Stable,1.15,923.31,547.35,1463.2,0.0,1.15,0,0,1,Critical
2013-09-02,64,38,64,38,65334,81049,-15715,26,Rice,26,57616,Sickness,None,0,Electricity,46493,6,Check food/donations,0.59,1020.84,-245.55,1992.84,0.41,0.59,1,0,1,Warning
2010-01-22,20,107,20,51,156115,136044,20071,0,None,0,0,None,Flu,18726,Water,32175,8,Stable,2.55,7805.75,1003.55,9347.25,0.0,5.35,0,1,0,Warning
2013-08-16,50,20,50,20,163742,56268,107474,30,Vegetables,30,67860,None,None,0,Internet,46634,10,Check food/donations,0.4,3274.84,2149.48,2058.04,0.6,0.4,0,0,1,Warning
2019-09-29,46,42,46,42,44146,37349,6797,4,Beans,4,7688,Fire,None,0,Gas,44353,10,Check food/donations,0.91,959.7,147.76,1776.13,0.09,0.91,1,0,1,Warning
2011-12-27,85,115,85,76,126569,62109,64460,0,None,0,0,None,Malaria,20355,Water,59309,8,Stable,0.89,1489.05,758.35,1667.92,0.0,1.35,0,1,1,Warning
2019-01-01,36,95,36,8,134706,81382,53324,0,None,0,0,None,Malaria,9632,Internet,24882,7,Stable,0.22,3741.83,1481.22,3219.33,0.0,2.64,0,1,0,Warning
2015-05-01,61,63,61,33,44863,65534,-20671,0,None,0,0,None,None,0,Electricity,24571,5,Check food/donations,0.54,735.46,-338.87,1477.13,0.0,1.03,0,0,0,Critical
2011-01-08,66,31,66,31,180780,132608,48172,35,Vegetables,35,68810,Water Shortage,None,0,Water,52838,9,Check food/donations,0.47,2739.09,729.88,2809.79,0.53,0.47,1,0,1,Warning
2016-05-18,24,93,24,33,197456,91925,105531,0,None,0,0,None,None,0,Water,28258,4,Stable,1.38,8227.33,4397.12,5007.62,0.0,3.88,0,0,0,Good
2017-09-02,25,86,25,42,140034,34158,105876,0,None,0,0,None,None,0,Electricity,38088,7,Stable,1.68,5601.36,4235.04,2889.84,0.0,3.44,0,0,0,Good
2024-06-27,90,64,90,51,103379,84944,18435,26,Rice,26,63986,None,None,0,Internet,46358,4,Check food/donations,0.57,1148.66,204.83,1458.91,0.29,0.71,0,0,1,Warning
